epa_site,cinc_site,distance_km,distance_category,n,slope,intercept,r2,panel_lab,label
0034,24.1_1.2,1.136199467704632,Nearby,290,1.3711488665260407,-0.8872089440836186,0.7766780037454462,"EPA 0034 vs CinC 24.1_1.2
Nearby (1.14 km)","y = 1.37x + -0.89
R² = 0.78"
0038,7.1_4.1,0.0029526019679494107,Collocated,47,1.4802810158015456,-1.7648879839066518,0.3467698023921692,"EPA 0038 vs CinC 7.1_4.1
Collocated (0 km)","y = 1.48x + -1.76
R² = 0.35"
0045,5.1_19.3_24.2,1.0408744705307522,Nearby,136,1.1590811945955306,-1.1754356575322673,0.7909837923257452,"EPA 0045 vs CinC 5.1_19.3_24.2
Nearby (1.04 km)","y = 1.16x + -1.18
R² = 0.79"
0060,9.1_17.2,0.009255653796098032,Collocated,311,1.2688475547066056,-0.7805736446075398,0.6912726777096766,"EPA 0060 vs CinC 9.1_17.2
Collocated (0.01 km)","y = 1.27x + -0.78
R² = 0.69"
0065,8.1_34.2,0.9723803699624697,Nearby,69,0.7644729760370371,1.1933107852725604,0.4255411195772975,"EPA 0065 vs CinC 8.1_34.2
Nearby (0.97 km)","y = 0.76x + 1.19
R² = 0.43"
0073,7.2,3.712049767648506,Far,72,1.4794724286561864,-0.7932390111795089,0.6425429915529666,"EPA 0073 vs CinC 7.2
Far (3.71 km)","y = 1.48x + -0.79
R² = 0.64"
