x_site,y_site,n,slope,intercept,r2
0034,0034,426,0.9999999999999999,7.742760523396484e-16,1
0038,0034,426,0.7799759641774836,-0.23300686883616234,0.8997892360747651
0045,0034,423,0.8744298546132961,-0.7296093909198533,0.952072195030196
0060,0034,426,0.8050801335308622,-0.17959756384013048,0.9162126955917271
0065,0034,426,0.7978163655044427,-0.7251544743931246,0.8889811666195966
0073,0034,426,0.975900046825922,-0.26680003085866866,0.9179614219763614
0034,0038,426,1.1536114924049352,1.1947581204776867,0.899789236074765
0038,0038,426,1.0000000000000002,-2.0517170993883278e-15,1
0045,0038,423,1.0259848970031866,0.1970876637126908,0.8857645158636176
0060,0038,426,1.0004414361320342,0.35054494147361864,0.9565839132187369
0065,0038,426,0.9960798545666268,-0.3724143427293771,0.9369073331070537
0073,0038,426,1.1304375833768532,0.8526357460447678,0.8327767159833128
0034,0045,423,1.0887919597064026,1.2172988966049454,0.9520721950301959
0038,0045,423,0.8633309500469836,0.8378408356596804,0.8857645158636176
0045,0045,423,0.9999999999999994,4.898200983656207e-15,1
0060,0045,423,0.8977070262172803,0.8423629789917042,0.9156199500725157
0065,0045,423,0.8845162536155042,0.27386921543760456,0.8772110238283768
0073,0045,423,1.077815640811424,0.8027478911236617,0.8974486506092273
0034,0060,426,1.1380391310532878,0.9488932961317578,0.9162126955917272
0038,0060,426,0.9561618288394154,0.05060224114476091,0.9565839132187368
0045,0060,423,1.0199540867255055,-0.10895433844315322,0.9156199500725157
0060,0060,426,1.0000000000000002,-1.9730095286555536e-15,1
0065,0060,426,0.9696686673217627,-0.47200432972513523,0.9289991545281907
0073,0060,426,1.102869129642733,0.7027172570767191,0.8293610361134399
0034,0065,426,1.114267900555677,1.8793877864394415,0.8889811666195966
0038,0065,426,0.9405946007357836,0.9591577119061839,0.9369073331070538
0045,0065,423,0.9917409886395336,0.915300225955361,0.8772110238283768
0060,0065,426,0.9580583407877852,1.1373912274337346,0.9289991545281908
0065,0065,426,0.9999999999999997,3.2142147316844253e-15,1
0073,0065,426,1.0965011944579313,1.5146777843518193,0.829746237104594
0034,0073,426,0.9406305747827309,0.8596596453488927,0.9179614219763615
0038,0073,426,0.7366852696949752,0.6126178025006583,0.8327767159833128
0045,0073,423,0.8326550632848404,0.0947714837499584,0.8974486506092274
0060,0073,426,0.7520031287684206,0.737639646968224,0.82936103611344
0065,0073,426,0.7567216901344003,0.11703762475564582,0.8297462371045942
0073,0073,426,1.0000000000000002,-1.647498242626982e-15,1
