epa_site,cinc_site,category,distance_km,n_matched_hours,start_time_utc,end_time_utc,mean_epa_pm25,mean_cinc_pm25,mean_cinc_temperature_c,mean_cinc_humidity
0038,7.1_4.1,Collocated,0,2635,2024-11-05T20:00:00Z,2025-12-31T18:00:00Z,8.731157495256165,10.348336812144213,9.02306648575305,33.17322478516509
0060,9.1_17.2,Collocated,0.01,7409,2024-11-12T23:00:00Z,2026-01-01T00:00:00Z,9.498164394655156,11.40346511000135,8.775398540934916,66.58896244258305
