"","device_1","device_11","device_12","device_13","device_14","device_15","device_16","device_17","device_18","device_19","device_2","device_20","device_21","device_22","device_23","device_24","device_25","device_26","device_27","device_28","device_29","device_3","device_30","device_31","device_32","device_33","device_34","device_35","device_4","device_5","device_6","device_7","device_8","device_9"
"device_1",1,0.614512932854528,0.582313593572063,0.886887232439549,0.517961674156393,0.755966368169305,0.546685730499739,0.38438927637232,-0.0889472833099477,0.632148291890518,0.621519092880186,0.915930260131791,0.601195137959493,0.547325419167871,0.57889434209816,0.599028876111095,0.622345459808955,0.308780520278487,0.0200228824006229,0.91203328647071,0.486875706489803,0.551521365872849,0.803857661828622,0.3377082831978,1,0.689469026349811,0.732408508219147,0.778155984807841,0.700600432668002,0.578445948222942,NA,0.663372724153885,0.611953799890357,0.818044335321116
"device_11",0.614512932854528,1,0.711544048688031,0.806308802147106,0.9017315080384,0.76886251691837,0.816479174610551,0.74610869296532,0.0490315868796822,0.684983872243551,0.765151724715078,0.754821486144865,0.789178245512421,0.843744864106759,0.705484516671212,0.776477752572254,0.796545813214611,0.799612837314874,0.115127697278473,0.343766782143193,0.863671750765552,0.791029418350445,0.852969578172551,0.737805733158775,0.730486760338094,0.448989207110587,0.81745102125194,0.607925918153508,0.684314951941882,0.920495033534357,-0.217560606833672,0.722436605462185,0.768367137445795,0.843048627917163
"device_12",0.582313593572063,0.711544048688031,1,0.520039743202761,0.948739677000717,0.837354080694268,0.188837810519265,0.947542811272058,0.0235252227061657,0.854797579635605,0.90168401128026,0.910351442607358,0.916622850311678,0.933869898510697,0.828333541524807,0.915865846806202,0.816865385446637,0.900956414492234,0.184129883229678,0.67558073138496,0.918580612797483,0.90683545712359,0.803772733825813,0.930217396560302,0.726902189542268,0.815703922115632,0.926791513210493,0.863920918952194,0.648119484905467,0.873365529651941,NA,0.848680530367792,0.910226206891449,0.85345285696459
"device_13",0.886887232439549,0.806308802147106,0.520039743202761,1,0.680935256262891,0.848710503067471,NA,0.310331464320209,-0.1611250430619,0.633940047579643,0.635041788809987,0.75169723079397,0.571686619455527,0.581429212285099,0.68419901732599,0.568244912340988,0.601272367158215,0.566747552004251,-0.145501392455828,0.842861612273429,0.674516981387377,0.547290871618349,0.687538631506277,NA,0.39936211252395,0.613790232839413,0.456136733529021,0.702420551122912,0.547765710537823,0.680599522771243,0.1095616808175,0.739487659684959,0.591104290327937,0.76971263726963
"device_14",0.517961674156393,0.9017315080384,0.948739677000717,0.680935256262891,1,0.84987489605922,0.955064801723362,0.968289209629935,0.0372709101556785,0.732782931857103,0.94323243137045,0.760842891713457,0.954013531090259,0.959085562309974,0.869832263363238,0.952282310184719,0.921137925713013,0.925516862889761,0.103091821722889,0.926332665262556,0.945909434620296,0.860111230787785,0.978118864421564,0.951311742883576,0.950233664172258,0.579765123227589,0.925369635101843,0.919330848869653,0.69899956247796,0.921200674643343,NA,0.87245354976049,0.935328212246176,0.93691808401495
"device_15",0.755966368169305,0.76886251691837,0.837354080694268,0.848710503067471,0.84987489605922,1,0.921674115671912,0.791509510940091,-0.136703698834288,0.817214899606248,0.836880070475187,0.887890622142327,0.837156658278843,0.834882453438457,0.762954647556292,0.830956252911017,0.779829795789509,0.737303173249929,0.000352317909977902,0.82996002123695,0.79487299464809,0.762875395774663,0.822903878747319,0.736399229983692,0.93178504001968,0.460125731792025,0.773148582018749,0.856916516953045,0.665658612260663,0.826330770189659,-0.2737919791512,0.738431607263101,0.830650845982284,0.79932432374707
"device_16",0.546685730499739,0.816479174610551,0.188837810519265,NA,0.955064801723362,0.921674115671912,1,0.952777368760436,-0.0287774518049646,0.330478426310545,0.913170973423983,0.861058602807179,0.968174229979824,0.965495427899777,0.886504363354352,0.924113986617605,0.88058954250189,0.978811658875501,0.365118270624378,0.947922941730367,0.955155939442186,0.706359792256846,0.951893240026816,0.97234925046308,0.962211577829255,0.640672342985869,0.936596739199668,0.945780346222694,0.80252922770598,0.941709072882174,NA,0.834706244819117,0.923187229610759,0.935756884040864
"device_17",0.38438927637232,0.74610869296532,0.947542811272058,0.310331464320209,0.968289209629935,0.791509510940091,0.952777368760436,1,0.158551052929482,0.690328030596193,0.919724845127612,0.755887603845496,0.955957403583922,0.945282540105208,0.882305499412697,0.950969218180182,0.936944964701491,0.931799266524233,0.224914686178314,0.367909651809663,0.946021772515376,0.849708693476555,0.921144313085552,0.953513879671134,0.924748860925422,0.653593904094548,0.928657420650986,0.913134728526308,0.775717263918932,0.944118334077593,NA,0.913383838640013,0.935764765291359,0.92190298240398
"device_18",-0.0889472833099477,0.0490315868796822,0.0235252227061657,-0.1611250430619,0.0372709101556785,-0.136703698834288,-0.0287774518049646,0.158551052929482,1,-0.224153352388905,-0.0335315248184555,-0.176854675930839,-0.00465273621653378,-0.0308755448030058,0.00151428727537267,0.169044101187642,-0.063360305892583,-0.0259565583826974,0.6686080355971,-0.193253552323947,-0.0185592601679857,0.00902724386774748,0.136829783929975,0.0284358273976817,0.087937029696875,0.674473482092261,-0.0213411263965398,0.0449145335967522,0.216192945266373,-0.301823495863206,NA,0.09657541210654,-0.0642271931771666,0.0188614930503153
"device_19",0.632148291890518,0.684983872243551,0.854797579635605,0.633940047579643,0.732782931857103,0.817214899606248,0.330478426310545,0.690328030596193,-0.224153352388905,1,0.749116448621706,0.791703023095275,0.774168113878723,0.71719280203019,0.741866908712091,0.762608269247931,0.695963451853185,0.614059240172805,-0.0358862709452327,0.693442232858659,0.713101347382968,0.752461900501793,0.687967746288821,0.496500677944706,0.219664830455507,0.086344735639349,0.659231561577477,0.58563285965213,0.277827415443941,0.81046561291689,-0.161462903559154,0.654592387268043,0.821933563339381,0.70367909978377
"device_2",0.621519092880186,0.765151724715078,0.90168401128026,0.635041788809987,0.94323243137045,0.836880070475187,0.913170973423983,0.919724845127612,-0.0335315248184555,0.749116448621706,1,0.848843442968451,0.887264444105371,0.9159795723564,0.84846700710745,0.945136063556312,0.819585977391464,0.905475041171721,0.0793530387319185,0.727825279228423,0.902206321671285,0.843489408617528,0.868235271620573,0.917147498364973,0.901818524463943,0.438741776796444,0.881387175350192,0.838995392235736,0.607233156496821,0.93091679850827,NA,0.864828696012569,0.909047518913346,0.888681178157565
"device_20",0.915930260131791,0.754821486144865,0.910351442607358,0.75169723079397,0.760842891713457,0.887890622142327,0.861058602807179,0.755887603845496,-0.176854675930839,0.791703023095275,0.848843442968451,1,0.899907790051291,0.70966964665517,0.798016316903037,0.916280431346595,0.727387152211445,0.72792413314581,-0.0191142114432225,0.841402463415859,0.730472107488292,0.737276391345055,0.806102396805087,0.813650903520949,0.73827069607132,0.407467373475362,0.518864519652005,0.756723994833187,0.736189641570405,0.654598118268074,-0.052898015914437,0.775297458667625,0.896330977774551,0.828240055548856
"device_21",0.601195137959493,0.789178245512421,0.916622850311678,0.571686619455527,0.954013531090259,0.837156658278843,0.968174229979824,0.955957403583922,-0.00465273621653378,0.774168113878723,0.887264444105371,0.899907790051291,1,0.911649199589836,0.85227007275241,0.956959198230787,0.802443340706653,0.896015397074343,0.131482897832625,0.512172195302446,0.948169756830913,0.890325474800418,0.773043389868793,0.947337415639163,0.921427254774331,0.55459579042426,0.855415027537321,0.91481947557822,0.729542908194621,0.940081988215209,NA,0.814117744892791,0.912908242747394,0.853096913631929
"device_22",0.547325419167871,0.843744864106759,0.933869898510697,0.581429212285099,0.959085562309974,0.834882453438457,0.965495427899777,0.945282540105208,-0.0308755448030058,0.71719280203019,0.9159795723564,0.70966964665517,0.911649199589836,1,0.817538497984213,0.902540095688216,0.886901630917015,0.949341534818166,0.101074721786638,0.930149919928456,0.925377318895187,0.825790242158701,0.946006725980397,0.975359421395012,0.852640749491831,0.517725878724117,0.940012011340906,0.91313311780477,0.648618637089683,0.893257980517952,NA,0.854337706183964,0.907523102996416,0.913321334669449
"device_23",0.57889434209816,0.705484516671212,0.828333541524807,0.68419901732599,0.869832263363238,0.762954647556292,0.886504363354352,0.882305499412697,0.00151428727537267,0.741866908712091,0.84846700710745,0.798016316903037,0.85227007275241,0.817538497984213,1,0.839487772457294,0.877534689599863,0.81536188458775,0.127521935668996,0.616167969767363,0.860271939619673,0.780696890059948,0.846129895277631,0.901280211541137,0.9096422845461,0.519039703397026,0.738129749831576,0.841264308630037,0.730602825090504,0.836560656024848,NA,0.855189934268917,0.850546759985676,0.935771062053515
"device_24",0.599028876111095,0.776477752572254,0.915865846806202,0.568244912340988,0.952282310184719,0.830956252911017,0.924113986617605,0.950969218180182,0.169044101187642,0.762608269247931,0.945136063556312,0.916280431346595,0.956959198230787,0.902540095688216,0.839487772457294,1,0.772892344324306,0.905803810788564,0.169704599025626,0.526848961028683,0.934857617158126,0.8825538606627,0.794647419060658,0.875597059234925,0.946723908341871,0.499304912504123,0.896308430658156,0.903171886772111,0.666104731955457,0.932049738246986,NA,0.848450858142526,0.89966294634945,0.810345566192921
"device_25",0.622345459808955,0.796545813214611,0.816865385446637,0.601272367158215,0.921137925713013,0.779829795789509,0.88058954250189,0.936944964701491,-0.063360305892583,0.695963451853185,0.819585977391464,0.727387152211445,0.802443340706653,0.886901630917015,0.877534689599863,0.772892344324306,1,0.876636708332301,0.116223699711338,0.642970174944499,0.897606880774585,0.729422242881263,0.822935284995646,0.887823320230663,0.915568540642527,0.570481561617648,0.843927214572489,0.894272985959326,0.706326354386739,0.915802126923111,NA,0.844050644218177,0.854401549948238,0.897919497115485
"device_26",0.308780520278487,0.799612837314874,0.900956414492234,0.566747552004251,0.925516862889761,0.737303173249929,0.978811658875501,0.931799266524233,-0.0259565583826974,0.614059240172805,0.905475041171721,0.72792413314581,0.896015397074343,0.949341534818166,0.81536188458775,0.905803810788564,0.876636708332301,1,0.116015550982925,0.919171086361191,0.918609539767315,0.805848132454105,0.95876752376093,0.969068997951992,0.87744910045107,0.480288777030817,0.947729064296054,0.939815024562172,0.647464960366266,0.858729258892964,NA,0.829237263716793,0.890693700503135,0.932513201322541
"device_27",0.0200228824006229,0.115127697278473,0.184129883229678,-0.145501392455828,0.103091821722889,0.000352317909977902,0.365118270624378,0.224914686178314,0.6686080355971,-0.0358862709452327,0.0793530387319185,-0.0191142114432225,0.131482897832625,0.101074721786638,0.127521935668996,0.169704599025626,0.116223699711338,0.116015550982925,1,-0.0751786449762287,0.0853778280069123,0.0918647397618598,0.204041842798734,0.307348340560099,0.349496491909939,0.718261347046216,0.0175081976637555,0.116681088491378,0.583228419452146,0.162623436827991,NA,0.277778244647547,0.0781672660911751,0.184740397419377
"device_28",0.91203328647071,0.343766782143193,0.67558073138496,0.842861612273429,0.926332665262556,0.82996002123695,0.947922941730367,0.367909651809663,-0.193253552323947,0.693442232858659,0.727825279228423,0.841402463415859,0.512172195302446,0.930149919928456,0.616167969767363,0.526848961028683,0.642970174944499,0.919171086361191,-0.0751786449762287,1,0.909330193919914,0.462794062129843,0.84362920540176,0.950823961227512,0.8936618797681,0.450099907903886,0.825095466815522,0.925516746915592,0.718211514040775,0.87004978717437,NA,0.670090720654977,0.748855442434083,0.767165084292893
"device_29",0.486875706489803,0.863671750765552,0.918580612797483,0.674516981387377,0.945909434620296,0.79487299464809,0.955155939442186,0.946021772515376,-0.0185592601679857,0.713101347382968,0.902206321671285,0.730472107488292,0.948169756830913,0.925377318895187,0.860271939619673,0.934857617158126,0.897606880774585,0.918609539767315,0.0853778280069123,0.909330193919914,1,0.843382525278379,0.952346479375026,0.958366696214292,0.935476904861748,0.540074605695035,0.919099526046568,0.908935887214772,0.7396277403531,0.915585842438686,NA,0.886927216406939,0.926105158954829,0.914288734973329
"device_3",0.551521365872849,0.791029418350445,0.90683545712359,0.547290871618349,0.860111230787785,0.762875395774663,0.706359792256846,0.849708693476555,0.00902724386774748,0.752461900501793,0.843489408617528,0.737276391345055,0.890325474800418,0.825790242158701,0.780696890059948,0.8825538606627,0.729422242881263,0.805848132454105,0.0918647397618598,0.462794062129843,0.843382525278379,1,0.797667935741103,0.74478133518716,0.709916529259797,0.486402832466723,0.822075914799345,0.77663538299546,0.533021879239418,0.801827079328404,-0.223700977023564,0.773748019623324,0.901239972731327,0.668651357320321
"device_30",0.803857661828622,0.852969578172551,0.803772733825813,0.687538631506277,0.978118864421564,0.822903878747319,0.951893240026816,0.921144313085552,0.136829783929975,0.687967746288821,0.868235271620573,0.806102396805087,0.773043389868793,0.946006725980397,0.846129895277631,0.794647419060658,0.822935284995646,0.95876752376093,0.204041842798734,0.84362920540176,0.952346479375026,0.797667935741103,1,0.962805868893485,0.975743541282907,0.595746070955649,0.914111654145969,0.966745869058685,0.784965682361814,NA,NA,0.888378747540508,0.892255182187717,0.88476658889497
"device_31",0.3377082831978,0.737805733158775,0.930217396560302,NA,0.951311742883576,0.736399229983692,0.97234925046308,0.953513879671134,0.0284358273976817,0.496500677944706,0.917147498364973,0.813650903520949,0.947337415639163,0.975359421395012,0.901280211541137,0.875597059234925,0.887823320230663,0.969068997951992,0.307348340560099,0.950823961227512,0.958366696214292,0.74478133518716,0.962805868893485,1,0.971881620031899,0.633905101176055,0.955446508799316,0.949674850659416,0.830202431374979,0.923947933448047,NA,0.852452058926369,0.902564257585302,0.933283405252078
"device_32",1,0.730486760338094,0.726902189542268,0.39936211252395,0.950233664172258,0.93178504001968,0.962211577829255,0.924748860925422,0.087937029696875,0.219664830455507,0.901818524463943,0.73827069607132,0.921427254774331,0.852640749491831,0.9096422845461,0.946723908341871,0.915568540642527,0.87744910045107,0.349496491909939,0.8936618797681,0.935476904861748,0.709916529259797,0.975743541282907,0.971881620031899,1,0.57395107444811,0.775031607572835,0.917814732908455,0.778801853403123,0.876079137808354,NA,0.897295775962314,0.852293010249608,0.93048184463999
"device_33",0.689469026349811,0.448989207110587,0.815703922115632,0.613790232839413,0.579765123227589,0.460125731792025,0.640672342985869,0.653593904094548,0.674473482092261,0.086344735639349,0.438741776796444,0.407467373475362,0.55459579042426,0.517725878724117,0.519039703397026,0.499304912504123,0.570481561617648,0.480288777030817,0.718261347046216,0.450099907903886,0.540074605695035,0.486402832466723,0.595746070955649,0.633905101176055,0.57395107444811,1,0.579094702694789,0.509437974678605,0.751416319956471,0.715120873546703,NA,0.680509472115555,0.522004397335988,0.585933144689482
"device_34",0.732408508219147,0.81745102125194,0.926791513210493,0.456136733529021,0.925369635101843,0.773148582018749,0.936596739199668,0.928657420650986,-0.0213411263965398,0.659231561577477,0.881387175350192,0.518864519652005,0.855415027537321,0.940012011340906,0.738129749831576,0.896308430658156,0.843927214572489,0.947729064296054,0.0175081976637555,0.825095466815522,0.919099526046568,0.822075914799345,0.914111654145969,0.955446508799316,0.775031607572835,0.579094702694789,1,0.879302684900114,0.601905602295471,0.860541088713291,NA,0.864650601900078,0.855844836456429,0.963940696548008
"device_35",0.778155984807841,0.607925918153508,0.863920918952194,0.702420551122912,0.919330848869653,0.856916516953045,0.945780346222694,0.913134728526308,0.0449145335967522,0.58563285965213,0.838995392235736,0.756723994833187,0.91481947557822,0.91313311780477,0.841264308630037,0.903171886772111,0.894272985959326,0.939815024562172,0.116681088491378,0.925516746915592,0.908935887214772,0.77663538299546,0.966745869058685,0.949674850659416,0.917814732908455,0.509437974678605,0.879302684900114,1,0.682117843312103,0.841601096229657,NA,0.810416687624679,0.890539585957179,0.92880494481019
"device_4",0.700600432668002,0.684314951941882,0.648119484905467,0.547765710537823,0.69899956247796,0.665658612260663,0.80252922770598,0.775717263918932,0.216192945266373,0.277827415443941,0.607233156496821,0.736189641570405,0.729542908194621,0.648618637089683,0.730602825090504,0.666104731955457,0.706326354386739,0.647464960366266,0.583228419452146,0.718211514040775,0.7396277403531,0.533021879239418,0.784965682361814,0.830202431374979,0.778801853403123,0.751416319956471,0.601905602295471,0.682117843312103,1,0.763322470194167,NA,0.88327330912939,0.531190323057044,0.782545741855288
"device_5",0.578445948222942,0.920495033534357,0.873365529651941,0.680599522771243,0.921200674643343,0.826330770189659,0.941709072882174,0.944118334077593,-0.301823495863206,0.81046561291689,0.93091679850827,0.654598118268074,0.940081988215209,0.893257980517952,0.836560656024848,0.932049738246986,0.915802126923111,0.858729258892964,0.162623436827991,0.87004978717437,0.915585842438686,0.801827079328404,NA,0.923947933448047,0.876079137808354,0.715120873546703,0.860541088713291,0.841601096229657,0.763322470194167,1,NA,0.917330203845239,0.899223705770017,0.930563450516324
"device_6",NA,-0.217560606833672,NA,0.1095616808175,NA,-0.2737919791512,NA,NA,NA,-0.161462903559154,NA,-0.052898015914437,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.223700977023564,NA,NA,NA,NA,NA,NA,NA,NA,1,0.184644494790153,0.0344378542669504,NA
"device_7",0.663372724153885,0.722436605462185,0.848680530367792,0.739487659684959,0.87245354976049,0.738431607263101,0.834706244819117,0.913383838640013,0.09657541210654,0.654592387268043,0.864828696012569,0.775297458667625,0.814117744892791,0.854337706183964,0.855189934268917,0.848450858142526,0.844050644218177,0.829237263716793,0.277778244647547,0.670090720654977,0.886927216406939,0.773748019623324,0.888378747540508,0.852452058926369,0.897295775962314,0.680509472115555,0.864650601900078,0.810416687624679,0.88327330912939,0.917330203845239,0.184644494790153,1,0.863117434854084,0.888509524727489
"device_8",0.611953799890357,0.768367137445795,0.910226206891449,0.591104290327937,0.935328212246176,0.830650845982284,0.923187229610759,0.935764765291359,-0.0642271931771666,0.821933563339381,0.909047518913346,0.896330977774551,0.912908242747394,0.907523102996416,0.850546759985676,0.89966294634945,0.854401549948238,0.890693700503135,0.0781672660911751,0.748855442434083,0.926105158954829,0.901239972731327,0.892255182187717,0.902564257585302,0.852293010249608,0.522004397335988,0.855844836456429,0.890539585957179,0.531190323057044,0.899223705770017,0.0344378542669504,0.863117434854084,1,0.876202588880018
