Sensor ID,Site ID,Lat,Long,Date,Time,PM2.5,removal_reason
3.1,3.1,41.575635,-81.541699,2025-06-27,04:30:00,365.947,PM2.5 > 250
3.1,3.1,41.575635,-81.541699,2025-06-27,09:00:00,370.499,PM2.5 > 250
3.1,3.1,41.575635,-81.541699,2025-11-22,02:30:00,2570.117,PM2.5 > 250
5.1,5.1_19.3_24.2,41.46274,-81.65997,2025-09-21,06:30:00,436.353,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-01,19:00:00,258.986,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-01,21:00:00,399.227,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-02,09:30:00,621.281,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-02,10:30:00,779.432,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-02,13:00:00,2101.504,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-02,18:00:00,2273.737,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-02,19:30:00,405.651,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,00:30:00,1723.896,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,01:30:00,2263.451,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,02:00:00,2522.463,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,03:00:00,3010.462,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,04:30:00,1973.81,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,06:00:00,1783.374,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,08:30:00,1948.736,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,09:00:00,4489.066,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,11:00:00,1212.964,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,11:30:00,2130.092,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,12:30:00,1675.018,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,14:30:00,360.808,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-03,20:30:00,271.855,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-04,10:00:00,302.703,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-04,11:30:00,425.66,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-04,12:00:00,466.655,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-04,19:00:00,530.797,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-05,16:00:00,339.273,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-05,18:00:00,562.146,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-05,20:30:00,740.147,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-05,22:00:00,555.428,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-06,08:00:00,474.898,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-06,08:30:00,1629.697,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-06,10:30:00,490.475,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-06,11:30:00,1091.027,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-06,15:30:00,1037.286,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-06,16:30:00,556.711,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-06,19:00:00,263.423,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-06,19:30:00,613.301,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-06,23:00:00,951.567,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-07,00:30:00,458.099,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-07,05:00:00,630.221,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-07,09:30:00,399.196,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-07,13:30:00,256.097,PM2.5 > 250
6.1,6.1,41.50541,-81.66791,2024-11-07,14:30:00,5392.194,PM2.5 > 250
11.1,11.1_32.1_18.2,41.56206,-81.564009,2025-03-28,07:30:00,1231.466,PM2.5 > 250
17.2,9.1_17.2,41.49212,-81.67856,2025-06-07,02:00:00,581.901,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,03:00:00,294.239,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,16:00:00,495.961,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,16:30:00,1159.71,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,17:00:00,329.431,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,17:30:00,374.368,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,18:00:00,957.547,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,18:30:00,1138.143,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,19:00:00,1773.672,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,19:30:00,1598.412,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,20:00:00,1626.31,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,20:30:00,1389.791,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,21:00:00,1504.778,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,21:30:00,820.563,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,22:00:00,785.32,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,22:30:00,687.258,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,23:00:00,592.951,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-26,23:30:00,435.307,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,00:00:00,265.061,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,03:30:00,253.482,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,11:30:00,1425.288,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,12:00:00,1996.534,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,12:30:00,506.496,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,13:00:00,494.449,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,13:30:00,695.325,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,14:00:00,1160.734,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,14:30:00,1318.397,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,15:00:00,268.289,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,15:30:00,609.611,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,16:00:00,1345.203,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,16:30:00,288.081,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,17:00:00,741.756,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,17:30:00,1091.721,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,18:00:00,263.159,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,18:30:00,522.015,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,19:00:00,1957.418,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,19:30:00,1738.302,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,20:00:00,2737.637,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,20:30:00,2490.213,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,21:00:00,2057.832,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,21:30:00,1810.115,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,22:30:00,1642.552,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,23:00:00,459.498,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27,23:30:00,367.796,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28,00:00:00,457.967,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28,03:00:00,523.228,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28,03:30:00,688.467,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28,04:00:00,478.324,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28,11:30:00,400.873,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28,12:00:00,625.043,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28,12:30:00,1180.799,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28,13:00:00,1629.851,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28,13:30:00,3244.474,PM2.5 > 250
