location_name,latitude,longitude,device_number,device_eui,time,measure_name,value
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T21:04:07Z,mc_pm2_5,1.444
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T21:34:07Z,mc_pm2_5,3.342
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T22:04:07Z,mc_pm2_5,1.889
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T22:34:07Z,mc_pm2_5,2.841
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T23:04:07Z,mc_pm2_5,2.824
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-10T23:34:07Z,mc_pm2_5,1.943
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T00:04:07Z,mc_pm2_5,1.758
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T00:34:07Z,mc_pm2_5,3.044
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T01:04:06Z,mc_pm2_5,2.27
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T01:34:06Z,mc_pm2_5,3.888
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T02:04:06Z,mc_pm2_5,2.829
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T02:34:06Z,mc_pm2_5,2.624
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T03:04:06Z,mc_pm2_5,5.081
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T03:34:06Z,mc_pm2_5,3.661
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T04:04:06Z,mc_pm2_5,1.337
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T04:34:06Z,mc_pm2_5,4.218
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T05:04:06Z,mc_pm2_5,5.583
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T05:34:06Z,mc_pm2_5,4.558
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T06:04:06Z,mc_pm2_5,4.264
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T06:34:06Z,mc_pm2_5,6.271
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T07:04:06Z,mc_pm2_5,6.161
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T07:34:06Z,mc_pm2_5,5.508
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T08:04:06Z,mc_pm2_5,5.963
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T08:34:06Z,mc_pm2_5,6.763
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T09:04:06Z,mc_pm2_5,5.702
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T09:34:06Z,mc_pm2_5,9.062
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T10:04:06Z,mc_pm2_5,4.522
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T10:34:06Z,mc_pm2_5,5.411
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T11:04:06Z,mc_pm2_5,4.853
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T11:34:06Z,mc_pm2_5,4.784
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T12:04:06Z,mc_pm2_5,5.099
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T12:34:06Z,mc_pm2_5,4.66
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T13:04:06Z,mc_pm2_5,5.532
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T13:34:06Z,mc_pm2_5,4.812
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T14:04:06Z,mc_pm2_5,4.093
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T14:34:06Z,mc_pm2_5,4.493
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T15:04:06Z,mc_pm2_5,3.867
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T15:34:06Z,mc_pm2_5,5.041
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T16:04:05Z,mc_pm2_5,3.363
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T16:34:05Z,mc_pm2_5,3.388
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T17:04:05Z,mc_pm2_5,8.297
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T17:34:05Z,mc_pm2_5,2.025
Gunning Recreation Center,41.43498,-81.81362,29,0004A30B00082B18,2025-05-11T18:04:05Z,mc_pm2_5,2.774
