sensor_id,site_id,latitude,longitude,datetime_utc,pm25,removal_reason
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-16T05:30:00Z,574.583,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-17T09:00:00Z,956.727,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-17T10:00:00Z,1880.58,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-17T14:00:00Z,1686.807,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-18T20:30:00Z,1358.125,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-18T22:30:00Z,281.341,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-18T23:00:00Z,300.772,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-19T02:00:00Z,717.175,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-19T12:30:00Z,546.908,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-19T19:00:00Z,265.451,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-20T18:00:00Z,1044.037,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-21T11:30:00Z,622.31,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-21T14:00:00Z,427.579,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-22T03:30:00Z,1802.573,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-22T04:00:00Z,530.888,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-22T16:30:00Z,1779.119,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-23T01:00:00Z,472.253,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-23T06:00:00Z,251.043,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-23T19:30:00Z,311.668,PM2.5 > 250
18.2,11.1_32.1_18.2,41.56206,-81.564009,2025-11-24T08:30:00Z,808.985,PM2.5 > 250
