date,0034,0038,0045,0060,0065,0073
2024-11-02,2.9,3.75,1.5,4.7,8.7,2.9
2024-11-05,5.6,6.4,4,9.1,14.1,5.3
2024-11-08,5.2,4.45,5.5,5.7,6.6,5.3
2024-11-11,2.8,2.95,3.7,3.3,3.3,2.5
2024-11-14,2.6,8.15,2.3,6.3,3.9,2.5
2024-11-17,5.8,9.75,5.6,8.9,12.2,6.2
2024-11-20,3.3,6.65,NA,7,5.2,3.2
2024-11-23,1.4,1.5,1.2,1.4,2.3,1.7
2024-11-26,4,4.45,NA,4.6,4.8,4.9
2024-11-29,6.3,6.45,2.9,7.3,NA,5.5
2024-12-02,7.9,8.25,3.4,8,NA,7.8
2024-12-05,1.7,2,1.8,NA,4.1,2.7
2024-12-08,7.3,9.850000000000001,3.2,9.2,8.2,7.3
2024-12-11,7,8.4,3.6,7.8,8.8,NA
2024-12-14,9.3,12.600000000000001,5.2,11.3,11.1,9
2024-12-17,8.3,8.25,5.2,8.6,9.4,7
2024-12-20,7.4,8.9,4.4,9.4,9.3,7.3
2024-12-23,6.4,9.4,4,9.4,13.3,6
2024-12-26,6.8,11.2,5,NA,8,6.4
2024-12-29,3.2,6.45,2.5,NA,3.6,2.6
2025-01-01,2.2,2.45,4.1,2.7,2.5,2.4
2025-01-04,2.5,3.15,5.2,3.1,3.5,3.7
2025-01-07,1.3,1.65,2.7,2.7,2.7,3.1
2025-01-10,16.5,24.950000000000003,15.1,22.2,26.1,16.8
2025-01-13,5.2,5.550000000000001,5,5.7,6.2,5.8
2025-01-16,NA,17.25,18.2,18.2,18.9,NA
2025-01-19,2.2,1.95,2,2.4,3.5,2.2
2025-01-22,8.4,12.4,8,11.4,16.4,9.5
2025-01-25,14.5,15.05,12,14.7,16.6,14
2025-01-28,5.2,5.35,5.2,5.8,7.4,5.2
2025-01-31,7,15,6.5,10.4,12.6,5.3
2025-02-03,13.8,17.5,10.7,16.3,18.5,13.1
2025-02-06,7.7,8.35,9.4,9.2,9.8,7.2
2025-02-09,7.2,7.75,10.2,7.5,7,7.7
2025-02-12,14.6,16.549999999999997,12.8,NA,14.5,11.7
2025-02-15,8.9,13.6,7.7,12.1,18.1,8.1
2025-02-18,3.7,5,6.5,5.1,6.7,6.9
2025-02-21,4.4,4.550000000000001,6,4.8,5.8,5.3
2025-02-24,9.5,12.35,8.9,12.3,NA,9.1
2025-02-27,12.7,14.7,11.1,13.5,15,12.6
2025-03-02,2.9,2.9,3.5,3.5,4.6,3.6
2025-03-05,4.2,5,2.8,5,7,3.8
2025-03-08,2.9,3.1,4.3,NA,4.6,3.8
2025-03-11,5.5,5.2,5,5.6,8.4,5.3
2025-03-14,10.3,17.15,9.7,18.6,20.7,8.8
2025-03-17,2.8,3.6,6.4,3.6,4.5,3.4
2025-03-20,4.6,6.25,6.4,5.2,6.8,4.8
2025-03-23,3.9,7.35,4.2,5.5,8.6,4
2025-03-26,4.2,5.35,4.1,4.4,13,3.9
2025-03-29,11,14.3,14.8,10.2,6.7,12.5
2025-04-01,3.9,4.75,NA,3.5,3,1.8
2025-04-04,4.4,5.9,NA,6.3,6.1,4.2
2025-04-07,5.9,7.3,7.5,6.7,7.5,6.5
2025-04-10,8.9,10.4,9.2,10.1,9.2,7.9
2025-04-13,7.2,8.95,7.1,9.6,11.2,5.5
2025-04-16,4.2,3.6,6.6,5.5,6.9,4.8
2025-04-19,8.8,9.399999999999999,12.5,NA,9.6,9.5
2025-04-22,3.7,5.85,6.2,5.2,7.1,3.7
2025-04-25,5.5,8.95,6.4,9.8,11,5.8
2025-04-28,4.3,11.15,5.5,9.7,15.2,NA
2025-05-01,6.8,9.85,6.3,9.2,9.2,6.2
2025-05-04,3,4.6,4.1,4.8,5.2,2.1
2025-05-07,4.6,6,5.5,5.7,6.9,4.6
2025-05-10,7.2,5.95,8.9,5.8,7.8,6.2
2025-05-13,6,7.35,5.6,8.2,11.2,5.9
2025-05-16,12,11.4,10.5,10.2,16.7,9.7
2025-05-19,5.7,4.1,6.7,5.9,7.4,3.9
2025-05-22,0.6,1.9,6.7,0.5,3.5,3.1
2025-05-25,13.3,8.2,10,12.7,14.1,7.4
2025-05-28,3.9,7.1,6.2,3.4,6.1,2.6
2025-05-31,6.4,6.45,9.1,7,11.9,5.4
2025-06-03,16.6,20.35,11.3,28.4,35.1,14.3
2025-06-06,26.8,27.85,22.6,29.5,30.5,15.7
2025-06-09,13.9,11.05,15.4,12,17.5,11.2
2025-06-12,18.9,21.05,20.1,20.5,25.7,13.7
2025-06-15,11.7,9.649999999999999,8.9,10.3,11.9,9.4
2025-06-18,6.3,7.5,5.8,7.1,16.5,4.5
2025-06-21,9.2,11.25,8.5,12.6,19.5,8.1
2025-06-24,17.3,16.6,NA,17.3,29,10.5
2025-06-27,12.5,13.75,NA,15,15.4,7.7
2025-06-30,8.2,10.25,9.6,10.3,15.8,6.1
2025-07-03,15.9,15.55,17.2,15.5,21.5,12.7
2025-07-06,12,13.3,11.9,16,16.8,11.4
2025-07-09,11.6,21.55,15.4,21.3,18.7,13.3
2025-07-12,9.9,13.5,8.1,12.5,24.2,8.9
2025-07-15,25.4,29.299999999999997,25.5,30.9,43.2,20.4
2025-07-18,0.7,7.25,2.6,4.8,0.5,4.8
2025-07-21,13.4,16.4,14.9,16.2,16.4,14.3
2025-07-24,22.8,16.7,14.3,21.6,27.5,16
2025-07-27,5.4,6.05,7.4,10.4,14.5,9.4
2025-07-30,7.4,10,11.7,13.7,18.8,9.1
2025-08-02,5.9,6.85,4.3,7.2,12,3.7
2025-08-05,19.7,23.4,21,24.8,30.1,17.3
2025-08-08,11.9,14.5,11.5,15.4,21.7,11.3
2025-08-11,13.7,17,14.2,18.6,27.3,12.7
2025-08-14,14.6,13.95,13.4,15.4,23.7,10.8
2025-08-17,9.7,9,9,9,11.4,8.2
2025-08-20,1.4,4.4,5,2.9,6.2,5.9
2025-08-23,6.7,7.95,NA,7.8,14.9,4.1
2025-08-26,3.2,3.1,6.5,3.7,6.7,2.5
2025-08-29,1.6,2.8,1.7,2.5,6.3,2.4
2025-09-01,4.1,9.15,5.8,5.6,7.7,4.2
2025-09-04,6,7.300000000000001,6.4,6.2,12.5,5.9
2025-09-07,4,4.699999999999999,5.5,3.9,8.7,3.7
2025-09-10,6.2,14.7,7.1,11.7,14.7,5.2
2025-09-13,10.4,13,11.2,15,16.5,8.3
2025-09-16,10.3,15.399999999999999,11.2,14.2,17.7,8.7
2025-09-19,8.9,11.600000000000001,9.8,13.2,14.4,7.6
2025-09-22,8.2,10.7,7.9,9.4,17.7,8.3
2025-09-25,8.7,9,NA,11.7,12.7,7.6
2025-09-28,10,12.4,NA,13.4,15.7,10.3
2025-10-01,4.1,4.45,NA,5.5,7.4,3.4
2025-10-04,12,19.45,NA,16.4,23.5,10.7
2025-10-07,3.9,4.5,NA,4.3,8.1,3.9
2025-10-10,5.5,13.35,NA,9.2,15.5,5.1
2025-10-13,4.6,8.4,NA,7.7,8.8,4.1
2025-10-16,2.7,3.55,NA,4.5,5.2,1.8
2025-10-19,7.3,9.75,NA,9.6,13,7
2025-10-22,3.5,3.3,NA,3.4,3.9,3
2025-10-25,5,6,5.2,5.4,9,3.5
2025-10-28,5,6.7,5,5.5,6.5,4
2025-10-31,5.2,3.9,6.7,4.7,5.8,5
2025-11-03,5.6,7.449999999999999,9.9,8.5,9.9,7.7
2025-11-06,3.2,6.3,6.4,4.6,6.5,3.8
2025-11-09,3.2,3.75,3.7,3.3,4.3,3.2
2025-11-12,5.6,5.2,9,5.3,6.3,5.5
2025-11-15,12,17.4,12.9,14.5,15.8,12.3
2025-11-18,9.4,18.7,12.5,NA,NA,10.2
2025-11-21,13.1,13,NA,14,15,14.6
2025-11-24,4.6,14.1,NA,10,14.4,5
2025-11-27,2,2.55,NA,2.5,3.5,3.1
