site_number,date,fem_pm25_daily,n_hourly_obs,first_hour,last_hour,valid_daily
0034,2024-12-29,4.645833333333334,24,2024-12-29T01:00:00Z,2024-12-30T00:00:00Z,TRUE
0034,2024-12-30,2.5041666666666664,24,2024-12-30T01:00:00Z,2024-12-31T00:00:00Z,TRUE
0034,2024-12-31,5.445833333333334,24,2024-12-31T01:00:00Z,2025-01-01T00:00:00Z,TRUE
0034,2025-01-01,3.075,24,2025-01-01T01:00:00Z,2025-01-02T00:00:00Z,TRUE
0034,2025-01-02,6.183333333333334,24,2025-01-02T01:00:00Z,2025-01-03T00:00:00Z,TRUE
0034,2025-01-03,5.9125,24,2025-01-03T01:00:00Z,2025-01-04T00:00:00Z,TRUE
0034,2025-01-04,1.9958333333333333,24,2025-01-04T01:00:00Z,2025-01-05T00:00:00Z,TRUE
0034,2025-01-05,6.475,24,2025-01-05T01:00:00Z,2025-01-06T00:00:00Z,TRUE
0034,2025-01-06,5.6000000000000005,24,2025-01-06T01:00:00Z,2025-01-07T00:00:00Z,TRUE
0034,2025-01-07,1.6208333333333333,24,2025-01-07T01:00:00Z,2025-01-08T00:00:00Z,TRUE
0034,2025-01-08,2.5083333333333333,24,2025-01-08T01:00:00Z,2025-01-09T00:00:00Z,TRUE
0034,2025-01-09,3.0416666666666665,24,2025-01-09T01:00:00Z,2025-01-10T00:00:00Z,TRUE
0034,2025-01-10,13.6875,24,2025-01-10T01:00:00Z,2025-01-11T00:00:00Z,TRUE
0034,2025-01-11,17.441666666666666,24,2025-01-11T01:00:00Z,2025-01-12T00:00:00Z,TRUE
0034,2025-01-12,14.558333333333334,24,2025-01-12T01:00:00Z,2025-01-13T00:00:00Z,TRUE
0034,2025-01-13,5.983333333333333,24,2025-01-13T01:00:00Z,2025-01-14T00:00:00Z,TRUE
0034,2025-01-14,5.733333333333333,24,2025-01-14T01:00:00Z,2025-01-15T00:00:00Z,TRUE
0034,2025-01-15,5.826086956521739,24,2025-01-15T01:00:00Z,2025-01-16T00:00:00Z,TRUE
0034,2025-01-16,12.920833333333333,24,2025-01-16T01:00:00Z,2025-01-17T00:00:00Z,TRUE
0034,2025-01-17,15.358333333333334,24,2025-01-17T01:00:00Z,2025-01-18T00:00:00Z,TRUE
0034,2025-01-18,4.504166666666666,24,2025-01-18T01:00:00Z,2025-01-19T00:00:00Z,TRUE
0034,2025-01-19,2.0083333333333333,24,2025-01-19T01:00:00Z,2025-01-20T00:00:00Z,TRUE
0034,2025-01-20,3.3,24,2025-01-20T01:00:00Z,2025-01-21T00:00:00Z,TRUE
0034,2025-01-21,4.791666666666667,24,2025-01-21T01:00:00Z,2025-01-22T00:00:00Z,TRUE
0034,2025-01-22,6.720833333333333,24,2025-01-22T01:00:00Z,2025-01-23T00:00:00Z,TRUE
0034,2025-01-23,8.045833333333333,24,2025-01-23T01:00:00Z,2025-01-24T00:00:00Z,TRUE
0034,2025-01-24,4.683333333333334,24,2025-01-24T01:00:00Z,2025-01-25T00:00:00Z,TRUE
0034,2025-01-25,10.925,24,2025-01-25T01:00:00Z,2025-01-26T00:00:00Z,TRUE
0034,2025-01-26,5.75,24,2025-01-26T01:00:00Z,2025-01-27T00:00:00Z,TRUE
0034,2025-01-27,5.283333333333333,24,2025-01-27T01:00:00Z,2025-01-28T00:00:00Z,TRUE
0034,2025-01-28,4.170833333333333,24,2025-01-28T01:00:00Z,2025-01-29T00:00:00Z,TRUE
0034,2025-01-29,3.8833333333333333,24,2025-01-29T01:00:00Z,2025-01-30T00:00:00Z,TRUE
0034,2025-01-30,4.945833333333333,24,2025-01-30T01:00:00Z,2025-01-31T00:00:00Z,TRUE
0034,2025-01-31,3.9375,24,2025-01-31T01:00:00Z,2025-02-01T00:00:00Z,TRUE
0034,2025-02-01,4.075,24,2025-02-01T01:00:00Z,2025-02-02T00:00:00Z,TRUE
0034,2025-02-02,4.7375,24,2025-02-02T01:00:00Z,2025-02-03T00:00:00Z,TRUE
0034,2025-02-03,11.3875,24,2025-02-03T01:00:00Z,2025-02-04T00:00:00Z,TRUE
0034,2025-02-04,5.769565217391304,24,2025-02-04T01:00:00Z,2025-02-05T00:00:00Z,TRUE
0034,2025-02-05,2.4363636363636365,24,2025-02-05T01:00:00Z,2025-02-06T00:00:00Z,TRUE
0034,2025-02-06,7.370833333333334,24,2025-02-06T01:00:00Z,2025-02-07T00:00:00Z,TRUE
0034,2025-02-07,4.854166666666667,24,2025-02-07T01:00:00Z,2025-02-08T00:00:00Z,TRUE
0034,2025-02-08,9.3,24,2025-02-08T01:00:00Z,2025-02-09T00:00:00Z,TRUE
0034,2025-02-09,7.320833333333333,24,2025-02-09T01:00:00Z,2025-02-10T00:00:00Z,TRUE
0034,2025-02-10,7.825,24,2025-02-10T01:00:00Z,2025-02-11T00:00:00Z,TRUE
0034,2025-02-11,14.429166666666667,24,2025-02-11T01:00:00Z,2025-02-12T00:00:00Z,TRUE
0034,2025-02-12,14.970833333333333,24,2025-02-12T01:00:00Z,2025-02-13T00:00:00Z,TRUE
0034,2025-02-13,6.370833333333334,24,2025-02-13T01:00:00Z,2025-02-14T00:00:00Z,TRUE
0034,2025-02-14,9.083333333333334,24,2025-02-14T01:00:00Z,2025-02-15T00:00:00Z,TRUE
0034,2025-02-15,7.954166666666667,24,2025-02-15T01:00:00Z,2025-02-16T00:00:00Z,TRUE
0034,2025-02-16,5.15,24,2025-02-16T01:00:00Z,2025-02-17T00:00:00Z,TRUE
0034,2025-02-17,3.2,24,2025-02-17T01:00:00Z,2025-02-18T00:00:00Z,TRUE
0034,2025-02-18,3.004166666666667,24,2025-02-18T01:00:00Z,2025-02-19T00:00:00Z,TRUE
0034,2025-02-19,2.8916666666666666,24,2025-02-19T01:00:00Z,2025-02-20T00:00:00Z,TRUE
0034,2025-02-20,4.266666666666667,24,2025-02-20T01:00:00Z,2025-02-21T00:00:00Z,TRUE
0034,2025-02-21,3.0166666666666666,24,2025-02-21T01:00:00Z,2025-02-22T00:00:00Z,TRUE
0034,2025-02-22,12.137500000000001,24,2025-02-22T01:00:00Z,2025-02-23T00:00:00Z,TRUE
0034,2025-02-23,11.9875,24,2025-02-23T01:00:00Z,2025-02-24T00:00:00Z,TRUE
0034,2025-02-24,11.847826086956522,24,2025-02-24T01:00:00Z,2025-02-25T00:00:00Z,TRUE
0034,2025-02-25,8.258333333333333,24,2025-02-25T01:00:00Z,2025-02-26T00:00:00Z,TRUE
0034,2025-02-26,12.829166666666667,24,2025-02-26T01:00:00Z,2025-02-27T00:00:00Z,TRUE
0034,2025-02-27,11.858333333333333,24,2025-02-27T01:00:00Z,2025-02-28T00:00:00Z,TRUE
0034,2025-02-28,5.758333333333334,24,2025-02-28T01:00:00Z,2025-03-01T00:00:00Z,TRUE
0034,2025-03-01,2.3291666666666666,24,2025-03-01T01:00:00Z,2025-03-02T00:00:00Z,TRUE
0034,2025-03-02,3.0083333333333333,24,2025-03-02T01:00:00Z,2025-03-03T00:00:00Z,TRUE
0034,2025-03-03,7.208333333333333,24,2025-03-03T01:00:00Z,2025-03-04T00:00:00Z,TRUE
0034,2025-03-04,6.625,24,2025-03-04T01:00:00Z,2025-03-05T00:00:00Z,TRUE
0034,2025-03-05,4.858333333333333,24,2025-03-05T01:00:00Z,2025-03-06T00:00:00Z,TRUE
0034,2025-03-06,2.0458333333333334,24,2025-03-06T01:00:00Z,2025-03-07T00:00:00Z,TRUE
0034,2025-03-07,5.291666666666667,24,2025-03-07T01:00:00Z,2025-03-08T00:00:00Z,TRUE
0034,2025-03-08,3.8333333333333335,24,2025-03-08T01:00:00Z,2025-03-09T00:00:00Z,TRUE
0034,2025-03-09,4.821739130434783,23,2025-03-09T01:00:00Z,2025-03-10T00:00:00Z,TRUE
0034,2025-03-10,5.354166666666667,24,2025-03-10T01:00:00Z,2025-03-11T00:00:00Z,TRUE
0034,2025-03-11,6.033333333333333,24,2025-03-11T01:00:00Z,2025-03-12T00:00:00Z,TRUE
0034,2025-03-12,3.283333333333333,24,2025-03-12T01:00:00Z,2025-03-13T00:00:00Z,TRUE
0034,2025-03-13,6.366666666666666,24,2025-03-13T01:00:00Z,2025-03-14T00:00:00Z,TRUE
0034,2025-03-14,12.016666666666666,24,2025-03-14T01:00:00Z,2025-03-15T00:00:00Z,TRUE
0034,2025-03-15,11.625,24,2025-03-15T01:00:00Z,2025-03-16T00:00:00Z,TRUE
0034,2025-03-16,4.65,24,2025-03-16T01:00:00Z,2025-03-17T00:00:00Z,TRUE
0034,2025-03-17,2.6791666666666667,24,2025-03-17T01:00:00Z,2025-03-18T00:00:00Z,TRUE
0034,2025-03-18,5.408333333333333,24,2025-03-18T01:00:00Z,2025-03-19T00:00:00Z,TRUE
0034,2025-03-19,6.754166666666666,24,2025-03-19T01:00:00Z,2025-03-20T00:00:00Z,TRUE
0034,2025-03-20,5.2125,24,2025-03-20T01:00:00Z,2025-03-21T00:00:00Z,TRUE
0034,2025-03-21,3.2916666666666665,24,2025-03-21T01:00:00Z,2025-03-22T00:00:00Z,TRUE
0034,2025-03-22,3.495833333333333,24,2025-03-22T01:00:00Z,2025-03-23T00:00:00Z,TRUE
0034,2025-03-23,4.1125,24,2025-03-23T01:00:00Z,2025-03-24T00:00:00Z,TRUE
0034,2025-03-24,5.047826086956522,24,2025-03-24T01:00:00Z,2025-03-25T00:00:00Z,TRUE
0034,2025-03-25,5.116666666666667,24,2025-03-25T01:00:00Z,2025-03-26T00:00:00Z,TRUE
0034,2025-03-26,3.4458333333333333,24,2025-03-26T01:00:00Z,2025-03-27T00:00:00Z,TRUE
0034,2025-03-27,6.416666666666667,24,2025-03-27T01:00:00Z,2025-03-28T00:00:00Z,TRUE
0034,2025-03-28,8.95,24,2025-03-28T01:00:00Z,2025-03-29T00:00:00Z,TRUE
0034,2025-03-29,12.833333333333334,24,2025-03-29T01:00:00Z,2025-03-30T00:00:00Z,TRUE
0034,2025-03-30,8.4375,24,2025-03-30T01:00:00Z,2025-03-31T00:00:00Z,TRUE
0034,2025-03-31,2.8541666666666665,24,2025-03-31T01:00:00Z,2025-04-01T00:00:00Z,TRUE
0034,2025-04-01,3.1625,24,2025-04-01T01:00:00Z,2025-04-02T00:00:00Z,TRUE
0034,2025-04-02,4.420833333333333,24,2025-04-02T01:00:00Z,2025-04-03T00:00:00Z,TRUE
0034,2025-04-03,3.683333333333333,24,2025-04-03T01:00:00Z,2025-04-04T00:00:00Z,TRUE
0034,2025-04-04,2.9875000000000003,24,2025-04-04T01:00:00Z,2025-04-05T00:00:00Z,TRUE
0034,2025-04-05,3.316666666666667,24,2025-04-05T01:00:00Z,2025-04-06T00:00:00Z,TRUE
0034,2025-04-06,3.716666666666667,24,2025-04-06T01:00:00Z,2025-04-07T00:00:00Z,TRUE
0034,2025-04-07,4.529166666666667,24,2025-04-07T01:00:00Z,2025-04-08T00:00:00Z,TRUE
0034,2025-04-08,2.8541666666666665,24,2025-04-08T01:00:00Z,2025-04-09T00:00:00Z,TRUE
0034,2025-04-09,5.343478260869565,24,2025-04-09T01:00:00Z,2025-04-10T00:00:00Z,TRUE
0034,2025-04-10,6.775,24,2025-04-10T01:00:00Z,2025-04-11T00:00:00Z,TRUE
0034,2025-04-11,7.891666666666667,24,2025-04-11T01:00:00Z,2025-04-12T00:00:00Z,TRUE
0034,2025-04-12,6.15,24,2025-04-12T01:00:00Z,2025-04-13T00:00:00Z,TRUE
0034,2025-04-13,6.808333333333334,24,2025-04-13T01:00:00Z,2025-04-14T00:00:00Z,TRUE
0034,2025-04-14,6.304166666666667,24,2025-04-14T01:00:00Z,2025-04-15T00:00:00Z,TRUE
0034,2025-04-15,3.125,24,2025-04-15T01:00:00Z,2025-04-16T00:00:00Z,TRUE
0034,2025-04-16,3.370833333333333,24,2025-04-16T01:00:00Z,2025-04-17T00:00:00Z,TRUE
0034,2025-04-17,7.433333333333334,24,2025-04-17T01:00:00Z,2025-04-18T00:00:00Z,TRUE
0034,2025-04-18,8.208333333333334,24,2025-04-18T01:00:00Z,2025-04-19T00:00:00Z,TRUE
0034,2025-04-19,8.979166666666666,24,2025-04-19T01:00:00Z,2025-04-20T00:00:00Z,TRUE
0034,2025-04-20,3.0708333333333333,24,2025-04-20T01:00:00Z,2025-04-21T00:00:00Z,TRUE
0034,2025-04-21,5.8625,24,2025-04-21T01:00:00Z,2025-04-22T00:00:00Z,TRUE
0034,2025-04-22,2.225,24,2025-04-22T01:00:00Z,2025-04-23T00:00:00Z,TRUE
0034,2025-04-23,5.078260869565217,24,2025-04-23T01:00:00Z,2025-04-24T00:00:00Z,TRUE
0034,2025-04-24,6.647826086956521,24,2025-04-24T01:00:00Z,2025-04-25T00:00:00Z,TRUE
0034,2025-04-25,5,24,2025-04-25T01:00:00Z,2025-04-26T00:00:00Z,TRUE
0034,2025-04-26,4.341666666666667,24,2025-04-26T01:00:00Z,2025-04-27T00:00:00Z,TRUE
0034,2025-04-27,4.104166666666667,24,2025-04-27T01:00:00Z,2025-04-28T00:00:00Z,TRUE
