epa_site,cinc_site,lat_epa,lon_epa,lat_cinc,lon_cinc,distance_km,distance_category
0045,12.1_5.2,41.471782,-81.656792,41.49409,-81.70976,5.067469912533651,Far
0060,12.1_5.2,41.492117,-81.678449,41.49409,-81.70976,2.6200036313897552,Nearby
0065,12.1_5.2,41.446624,-81.662356,41.49409,-81.70976,6.5995401616396245,Far
0073,12.1_5.2,41.44013,-81.494833,41.49409,-81.70976,18.907798110010912,Far
0034,13.1_33.2,41.55523,-81.575256,41.489571,-81.71175,13.521732803010893,Far
0038,13.1_33.2,41.477011,-81.682383,41.489571,-81.71175,2.820065421283382,Nearby
0045,13.1_33.2,41.471782,-81.656792,41.489571,-81.71175,4.992894830360384,Far
0060,13.1_33.2,41.492117,-81.678449,41.489571,-81.71175,2.791235408258104,Nearby
0065,13.1_33.2,41.446624,-81.662356,41.489571,-81.71175,6.31127798757158,Far
0073,13.1_33.2,41.44013,-81.494833,41.489571,-81.71175,18.91340499971842,Far
0034,14.1,41.55523,-81.575256,41.49537,-81.63033,8.09139259869546,Far
0038,14.1,41.477011,-81.682383,41.49537,-81.63033,4.797807748890549,Far
0045,14.1,41.471782,-81.656792,41.49537,-81.63033,3.4299780669618936,Far
0060,14.1,41.492117,-81.678449,41.49537,-81.63033,4.0285391264318315,Far
0065,14.1,41.446624,-81.662356,41.49537,-81.63033,6.048264187254199,Far
0073,14.1,41.44013,-81.494833,41.49537,-81.63033,12.866989307813125,Far
0034,15.1,41.55523,-81.575256,41.552492,-81.591944,1.4231973747636932,Nearby
0038,15.1,41.477011,-81.682383,41.552492,-81.591944,11.28852777710572,Far
0045,15.1,41.471782,-81.656792,41.552492,-81.591944,10.485383914936302,Far
0060,15.1,41.492117,-81.678449,41.552492,-81.591944,9.8565134527214,Far
0065,15.1,41.446624,-81.662356,41.552492,-81.591944,13.166370551392005,Far
0073,15.1,41.44013,-81.494833,41.552492,-81.591944,14.900077820126642,Far
0034,18.1_26.1,41.55523,-81.575256,41.47918,-81.75257,17.032298829261276,Far
0038,18.1_26.1,41.477011,-81.682383,41.47918,-81.75257,5.858682909685334,Far
0045,18.1_26.1,41.471782,-81.656792,41.47918,-81.75257,8.030695108964464,Far
0060,18.1_26.1,41.492117,-81.678449,41.47918,-81.75257,6.346639661408349,Far
0065,18.1_26.1,41.446624,-81.662356,41.47918,-81.75257,8.352913402680988,Far
0073,18.1_26.1,41.44013,-81.494833,41.47918,-81.75257,21.936794117591152,Far
0034,19.1,41.55523,-81.575256,41.462862,-81.647249,11.905645754774381,Far
0038,19.1,41.477011,-81.682383,41.462862,-81.647249,3.3270444524752425,Far
0045,19.1,41.471782,-81.656792,41.462862,-81.647249,1.272657973243841,Nearby
0060,19.1,41.492117,-81.678449,41.462862,-81.647249,4.168570560549301,Far
0065,19.1,41.446624,-81.662356,41.462862,-81.647249,2.2036448065958965,Nearby
0073,19.1,41.44013,-81.494833,41.462862,-81.647249,12.966272862771898,Far
0034,19.2,41.55523,-81.575256,41.46491,-81.59068,10.13625370230056,Far
0038,19.2,41.477011,-81.682383,41.46491,-81.59068,7.766727005299243,Far
0045,19.2,41.471782,-81.656792,41.46491,-81.59068,5.56747952710138,Far
0060,19.2,41.492117,-81.678449,41.46491,-81.59068,7.921842606136047,Far
0065,19.2,41.446624,-81.662356,41.46491,-81.59068,6.316914755348664,Far
0073,19.2,41.44013,-81.494833,41.46491,-81.59068,8.459337923128174,Far
0034,20.1,41.55523,-81.575256,41.569957,-81.541194,3.2767168265995528,Far
0038,20.1,41.477011,-81.682383,41.569957,-81.541194,15.669062438678697,Far
0045,20.1,41.471782,-81.656792,41.569957,-81.541194,14.569337726027294,Far
0060,20.1,41.492117,-81.678449,41.569957,-81.541194,14.349570361536458,Far
0065,20.1,41.446624,-81.662356,41.569957,-81.541194,17.044449515678288,Far
0073,20.1,41.44013,-81.494833,41.569957,-81.541194,14.96015550910676,Far
0034,20.2,41.55523,-81.575256,41.50459,-81.6439,8.031291020962183,Far
0038,20.2,41.477011,-81.682383,41.50459,-81.6439,4.4410038446177635,Far
0045,20.2,41.471782,-81.656792,41.50459,-81.6439,3.80710748949407,Far
0060,20.2,41.492117,-81.678449,41.50459,-81.6439,3.197719205936606,Far
0065,20.2,41.446624,-81.662356,41.50459,-81.6439,6.6338093220574885,Far
0073,20.2,41.44013,-81.494833,41.50459,-81.6439,14.355569192091364,Far
0034,21.1,41.55523,-81.575256,41.486323,-81.624582,8.702936737914138,Far
0038,21.1,41.477011,-81.682383,41.486323,-81.624582,4.930626760622813,Far
0045,21.1,41.471782,-81.656792,41.486323,-81.624582,3.1363225518531785,Far
0060,21.1,41.492117,-81.678449,41.486323,-81.624582,4.537891481999049,Far
0065,21.1,41.446624,-81.662356,41.486323,-81.624582,5.427579051423308,Far
0073,21.1,41.44013,-81.494833,41.486323,-81.624582,11.98313753835251,Far
0034,22.1,41.55523,-81.575256,41.44404,-81.72271,17.44542364183932,Far
0038,22.1,41.477011,-81.682383,41.44404,-81.72271,4.978891918633881,Far
0045,22.1,41.471782,-81.656792,41.44404,-81.72271,6.307160165677174,Far
0060,22.1,41.492117,-81.678449,41.44404,-81.72271,6.501832316503645,Far
0065,22.1,41.446624,-81.662356,41.44404,-81.72271,5.044369758035605,Far
0073,22.1,41.44013,-81.494833,41.44404,-81.72271,19.020829279363532,Far
0034,23.1,41.55523,-81.575256,41.449672,-81.564,11.78807442174298,Far
0038,23.1,41.477011,-81.682383,41.449672,-81.564,10.333876968431156,Far
0045,23.1,41.471782,-81.656792,41.449672,-81.564,8.122933480829158,Far
0060,23.1,41.492117,-81.678449,41.449672,-81.564,10.651608139631563,Far
0065,23.1,41.446624,-81.662356,41.449672,-81.564,8.213844021852571,Far
0073,23.1,41.44013,-81.494833,41.449672,-81.564,5.868520650102107,Far
0034,24.1_1.2,41.55523,-81.575256,41.564906,-81.579597,1.136199467704632,Nearby
0038,24.1_1.2,41.477011,-81.682383,41.564906,-81.579597,13.004834340746834,Far
0045,24.1_1.2,41.471782,-81.656792,41.564906,-81.579597,12.200956862434856,Far
0060,24.1_1.2,41.492117,-81.678449,41.564906,-81.579597,11.555104803327085,Far
0065,24.1_1.2,41.446624,-81.662356,41.564906,-81.579597,14.865138738144724,Far
0073,24.1_1.2,41.44013,-81.494833,41.564906,-81.579597,15.584335373955483,Far
0034,25.1,41.55523,-81.575256,41.46717,-81.63003,10.81398324735835,Far
0038,25.1,41.477011,-81.682383,41.46717,-81.63003,4.502045062626242,Far
0045,25.1,41.471782,-81.656792,41.46717,-81.63003,2.2905679090257163,Nearby
0060,25.1,41.492117,-81.678449,41.46717,-81.63003,4.900883277077597,Far
0065,25.1,41.446624,-81.662356,41.46717,-81.63003,3.5361742065323973,Far
0073,25.1,41.44013,-81.494833,41.46717,-81.63003,11.674610476900842,Far
0034,27.1,41.55523,-81.575256,41.50541,-81.66791,9.506588830200684,Far
0038,27.1,41.477011,-81.682383,41.50541,-81.66791,3.3838796161611855,Far
0045,27.1,41.471782,-81.656792,41.50541,-81.66791,3.8565478640068824,Far
0060,27.1,41.492117,-81.678449,41.50541,-81.66791,1.720991887241103,Nearby
0065,27.1,41.446624,-81.662356,41.50541,-81.66791,6.560402149319933,Far
0073,27.1,41.44013,-81.494833,41.50541,-81.66791,16.16194848405026,Far
0034,28.1,41.55523,-81.575256,41.46308,-81.69823,14.502332177897761,Far
0038,28.1,41.477011,-81.682383,41.46308,-81.69823,2.0376914432958904,Nearby
0045,28.1,41.471782,-81.656792,41.46308,-81.69823,3.5897365663098366,Far
0060,28.1,41.492117,-81.678449,41.46308,-81.69823,3.62906008850143,Far
0065,28.1,41.446624,-81.662356,41.46308,-81.69823,3.5091212211845515,Far
0073,28.1,41.44013,-81.494833,41.46308,-81.69823,17.161779015888698,Far
0034,29.1,41.55523,-81.575256,41.43498,-81.81362,23.962323586724892,Far
0038,29.1,41.477011,-81.682383,41.43498,-81.81362,11.906914910673622,Far
0045,29.1,41.471782,-81.656792,41.43498,-81.81362,13.71103821068493,Far
0060,29.1,41.492117,-81.678449,41.43498,-81.81362,12.946182810193875,Far
0065,29.1,41.446624,-81.662356,41.43498,-81.81362,12.689285901521318,Far
0073,29.1,41.44013,-81.494833,41.43498,-81.81362,26.610119617142747,Far
0034,30.1_17.1,41.55523,-81.575256,41.47473,-81.72846,15.60066592052189,Far
0038,30.1_17.1,41.477011,-81.682383,41.47473,-81.72846,3.851405176106579,Far
0045,30.1_17.1,41.471782,-81.656792,41.47473,-81.72846,5.986670732425329,Far
0060,30.1_17.1,41.492117,-81.678449,41.47473,-81.72846,4.59788531867137,Far
0065,30.1_17.1,41.446624,-81.662356,41.47473,-81.72846,6.340386639533963,Far
0073,30.1_17.1,41.44013,-81.494833,41.47473,-81.72846,19.86798250578657,Far
0034,31.2,41.55523,-81.575256,41.47218,-81.69863,13.828618462125938,Far
0038,31.2,41.477011,-81.682383,41.47218,-81.69863,1.4579107345957432,Nearby
0045,31.2,41.471782,-81.656792,41.47218,-81.69863,3.489964984050795,Far
0060,31.2,41.492117,-81.678449,41.47218,-81.69863,2.7853536174806064,Nearby
0065,31.2,41.446624,-81.662356,41.47218,-81.69863,4.153446348901216,Far
0073,31.2,41.44013,-81.494833,41.47218,-81.69863,17.37302996818175,Far
0034,32.2,41.55523,-81.575256,41.47214,-81.62353,10.086912844355469,Far
0038,32.2,41.477011,-81.682383,41.47214,-81.62353,4.938556865555399,Far
0045,32.2,41.471782,-81.656792,41.47214,-81.62353,2.7746515519765405,Nearby
0060,32.2,41.492117,-81.678449,41.47214,-81.62353,5.091388033916659,Far
0065,32.2,41.446624,-81.662356,41.47214,-81.62353,4.308096530078507,Far
0073,32.2,41.44013,-81.494833,41.47214,-81.62353,11.313005638798742,Far
0034,33.1,41.55523,-81.575256,41.4668,-81.70792,14.805408854586561,Far
0038,33.1,41.477011,-81.682383,41.4668,-81.70792,2.4143473164995783,Nearby
0045,33.1,41.471782,-81.656792,41.4668,-81.70792,4.300643290741288,Far
0060,33.1,41.492117,-81.678449,41.4668,-81.70792,3.7394959574937205,Far
0065,33.1,41.446624,-81.662356,41.4668,-81.70792,4.415290508061466,Far
0073,33.1,41.44013,-81.494833,41.4668,-81.70792,18.024723579752553,Far
0034,34.1_16.1,41.55523,-81.575256,41.469970000000004,-81.72552,15.715309363083046,Far
0038,34.1_16.1,41.477011,-81.682383,41.469970000000004,-81.72552,3.6823333438556416,Far
0045,34.1_16.1,41.471782,-81.656792,41.469970000000004,-81.72552,5.736208575545497,Far
0060,34.1_16.1,41.492117,-81.678449,41.469970000000004,-81.72552,4.6355824475449054,Far
0065,34.1_16.1,41.446624,-81.662356,41.469970000000004,-81.72552,5.87559571469309,Far
0073,34.1_16.1,41.44013,-81.494833,41.469970000000004,-81.72552,19.531040535120496,Far
0034,35.1,41.55523,-81.575256,41.463988,-81.645973,11.743780432979833,Far
0038,35.1,41.477011,-81.682383,41.463988,-81.645973,3.365275602476672,Far
0045,35.1,41.471782,-81.656792,41.463988,-81.645973,1.2518834756124955,Nearby
0060,35.1,41.492117,-81.678449,41.463988,-81.645973,4.140208296286225,Far
0065,35.1,41.446624,-81.662356,41.463988,-81.645973,2.3673985445324126,Nearby
0073,35.1,41.44013,-81.494833,41.463988,-81.645973,12.887012890675662,Far
0034,35.2,41.55523,-81.575256,41.54031,-81.60699,3.1222296924957837,Far
0038,35.2,41.477011,-81.682383,41.54031,-81.60699,9.44204583656352,Far
0045,35.2,41.471782,-81.656792,41.54031,-81.60699,8.685116837085834,Far
0060,35.2,41.492117,-81.678449,41.54031,-81.60699,8.016147912918111,Far
0065,35.2,41.446624,-81.662356,41.54031,-81.60699,11.405168291551607,Far
0073,35.2,41.44013,-81.494833,41.54031,-81.60699,14.554469718631099,Far
