site1,site2,lat1,lon1,lat2,lon2,distance_km
3.1,3.1,41.575635,-81.541699,41.575635,-81.541699,0
5.1_19.3_24.2,3.1,41.46274,-81.65997,41.575635,-81.541699,15.972307497304223
7.1_4.1,3.1,41.476985,-81.682376,41.575635,-81.541699,16.063868478416996
7.2,3.1,41.44539,-81.53876,41.575635,-81.541699,14.50087683349434
8.1_34.2,3.1,41.446336,-81.650709,41.575635,-81.541699,17.02192856753213
9.1_17.2,3.1,41.49211735298013,-81.67856,41.575635,-81.541699,14.713988605660939
9.2,3.1,41.50604,-81.66306,41.575635,-81.541699,12.738550040833173
11.1_32.1_18.2,3.1,41.56206,-81.564009,41.575635,-81.541699,2.395010680704145
12.1_5.2,3.1,41.49409,-81.70976,41.575635,-81.541699,16.68895378785856
13.1_33.2,3.1,41.489571,-81.71175,41.575635,-81.541699,17.105355785960775
14.1,3.1,41.49537,-81.63033,41.575635,-81.541699,11.592220002571228
15.1,3.1,41.552492,-81.591944,41.575635,-81.541699,4.9143608958515035
18.1_26.1,3.1,41.47918,-81.75257,41.575635,-81.541699,20.594186215143658
19.1,3.1,41.462862,-81.647249,41.575635,-81.541699,15.32950203234397
19.2,3.1,41.46491,-81.59068,41.575635,-81.541699,12.9843301715574
20.1,3.1,41.569957,-81.541194,41.575635,-81.541699,0.6334696703049534
20.2,3.1,41.50459,-81.6439,41.575635,-81.541699,11.621625679152205
21.1,3.1,41.486323,-81.624582,41.575635,-81.541699,12.105878567651477
22.1,3.1,41.44404,-81.72271,41.575635,-81.541699,21.030441231480626
23.1,3.1,41.449672,-81.564,41.575635,-81.541699,14.144822473163371
24.1_1.2,3.1,41.564906,-81.579597,41.575635,-81.541699,3.3746700063880173
25.1,3.1,41.46717,-81.63003,41.575635,-81.541699,14.141683867161039
27.1,3.1,41.50541,-81.66791,41.575635,-81.541699,13.103402168741233
28.1,3.1,41.46308,-81.69823,41.575635,-81.541699,18.08877956839103
29.1,3.1,41.43498,-81.81362,41.575635,-81.541699,27.550846267055945
30.1_17.1,3.1,41.47473,-81.72846,41.575635,-81.541699,19.194719623890126
31.2,3.1,41.47218,-81.69863,41.575635,-81.541699,17.426762757412252
32.2,3.1,41.47214,-81.62353,41.575635,-81.541699,13.388284635129846
33.1,3.1,41.4668,-81.70792,41.575635,-81.541699,18.40417274494002
34.1_16.1,3.1,41.469970000000004,-81.72552,41.575635,-81.541699,19.315067669305805
35.1,3.1,41.463988,-81.645973,41.575635,-81.541699,15.165781895111246
35.2,3.1,41.54031,-81.60699,41.575635,-81.541699,6.711365468132094
1.1,5.1_19.3_24.2,41.456319,-81.639257,41.46274,-81.65997,1.86999145518175
2.1,5.1_19.3_24.2,41.57947,-81.56615,41.46274,-81.65997,15.165671332843907
3.1,5.1_19.3_24.2,41.575635,-81.541699,41.46274,-81.65997,15.972307497304223
5.1_19.3_24.2,5.1_19.3_24.2,41.46274,-81.65997,41.46274,-81.65997,0
7.1_4.1,5.1_19.3_24.2,41.476985,-81.682376,41.46274,-81.65997,2.4510203031542077
7.2,5.1_19.3_24.2,41.44539,-81.53876,41.46274,-81.65997,10.295630721039558
8.1_34.2,5.1_19.3_24.2,41.446336,-81.650709,41.46274,-81.65997,1.982824645053918
9.1_17.2,5.1_19.3_24.2,41.49211735298013,-81.67856,41.46274,-81.65997,3.6191956209336307
9.2,5.1_19.3_24.2,41.50604,-81.66306,41.46274,-81.65997,4.827017015683856
11.1_32.1_18.2,5.1_19.3_24.2,41.56206,-81.564009,41.46274,-81.65997,13.646450169531592
12.1_5.2,5.1_19.3_24.2,41.49409,-81.70976,41.46274,-81.65997,5.4242768550311435
13.1_33.2,5.1_19.3_24.2,41.489571,-81.71175,41.46274,-81.65997,5.250894685799509
14.1,5.1_19.3_24.2,41.49537,-81.63033,41.46274,-81.65997,4.393713190377589
15.1,5.1_19.3_24.2,41.552492,-81.591944,41.46274,-81.65997,11.488341244184214
18.1_26.1,5.1_19.3_24.2,41.47918,-81.75257,41.46274,-81.65997,7.937685927443782
19.1,5.1_19.3_24.2,41.462862,-81.647249,41.46274,-81.65997,1.0612885158589862
19.2,5.1_19.3_24.2,41.46491,-81.59068,41.46274,-81.65997,5.785211887966837
20.1,5.1_19.3_24.2,41.569957,-81.541194,41.46274,-81.65997,15.507008855200825
20.2,5.1_19.3_24.2,41.50459,-81.6439,41.46274,-81.65997,4.847646304352731
21.1,5.1_19.3_24.2,41.486323,-81.624582,41.46274,-81.65997,3.950155675017782
22.1,5.1_19.3_24.2,41.44404,-81.72271,41.46274,-81.65997,5.633337366271805
23.1,5.1_19.3_24.2,41.449672,-81.564,41.46274,-81.65997,8.137829527498726
24.1_1.2,5.1_19.3_24.2,41.564906,-81.579597,41.46274,-81.65997,13.199636835475811
25.1,5.1_19.3_24.2,41.46717,-81.63003,41.46274,-81.65997,2.5457696946888935
27.1,5.1_19.3_24.2,41.50541,-81.66791,41.46274,-81.65997,4.79593206590399
28.1,5.1_19.3_24.2,41.46308,-81.69823,41.46274,-81.65997,3.191915727773041
29.1,5.1_19.3_24.2,41.43498,-81.81362,41.46274,-81.65997,13.187602625942358
30.1_17.1,5.1_19.3_24.2,41.47473,-81.72846,41.46274,-81.65997,5.86684098849911
31.2,5.1_19.3_24.2,41.47218,-81.69863,41.46274,-81.65997,3.3917324606312635
32.2,5.1_19.3_24.2,41.47214,-81.62353,41.46274,-81.65997,3.2147235106457352
33.1,5.1_19.3_24.2,41.4668,-81.70792,41.46274,-81.65997,4.025379672278027
34.1_16.1,5.1_19.3_24.2,41.469970000000004,-81.72552,41.46274,-81.65997,5.52687812008256
35.1,5.1_19.3_24.2,41.463988,-81.645973,41.46274,-81.65997,1.1758727647560685
35.2,5.1_19.3_24.2,41.54031,-81.60699,41.46274,-81.65997,9.699183886015822
1.1,7.1_4.1,41.456319,-81.639257,41.476985,-81.682376,4.269612962314656
2.1,7.1_4.1,41.57947,-81.56615,41.476985,-81.682376,14.965719606798347
3.1,7.1_4.1,41.575635,-81.541699,41.476985,-81.682376,16.063868478416996
5.1_19.3_24.2,7.1_4.1,41.46274,-81.65997,41.476985,-81.682376,2.4510203031542077
7.1_4.1,7.1_4.1,41.476985,-81.682376,41.476985,-81.682376,0
7.2,7.1_4.1,41.44539,-81.53876,41.476985,-81.682376,12.486502463000237
8.1_34.2,7.1_4.1,41.446336,-81.650709,41.476985,-81.682376,4.315022301680739
9.1_17.2,7.1_4.1,41.49211735298013,-81.67856,41.476985,-81.682376,1.7143210741750328
9.2,7.1_4.1,41.50604,-81.66306,41.476985,-81.682376,3.6132341576184466
11.1_32.1_18.2,7.1_4.1,41.56206,-81.564009,41.476985,-81.682376,13.675600410436964
12.1_5.2,7.1_4.1,41.49409,-81.70976,41.476985,-81.682376,2.973302773544435
13.1_33.2,7.1_4.1,41.489571,-81.71175,41.476985,-81.682376,2.8220086695717472
14.1,7.1_4.1,41.49537,-81.63033,41.476985,-81.682376,4.7985141462843925
15.1,7.1_4.1,41.552492,-81.591944,41.476985,-81.682376,11.290293735931092
18.1_26.1,7.1_4.1,41.47918,-81.75257,41.476985,-81.682376,5.859387381706464
19.1,7.1_4.1,41.462862,-81.647249,41.476985,-81.682376,3.3251612407686966
19.2,7.1_4.1,41.46491,-81.59068,41.476985,-81.682376,7.76565198224499
20.1,7.1_4.1,41.569957,-81.541194,41.476985,-81.682376,15.670537487100917
20.2,7.1_4.1,41.50459,-81.6439,41.476985,-81.682376,4.442584095018789
21.1,7.1_4.1,41.486323,-81.624582,41.476985,-81.682376,4.930666352655471
22.1,7.1_4.1,41.44404,-81.72271,41.476985,-81.682376,4.977153925060046
23.1,7.1_4.1,41.449672,-81.564,41.476985,-81.682376,10.332468757047554
24.1_1.2,7.1_4.1,41.564906,-81.579597,41.476985,-81.682376,13.00662894302925
25.1,7.1_4.1,41.46717,-81.63003,41.476985,-81.682376,4.500776105874713
27.1,7.1_4.1,41.50541,-81.66791,41.476985,-81.682376,3.386375884403553
28.1,7.1_4.1,41.46308,-81.69823,41.476985,-81.682376,2.0358689768087346
29.1,7.1_4.1,41.43498,-81.81362,41.476985,-81.682376,11.906316982463997
30.1_17.1,7.1_4.1,41.47473,-81.72846,41.476985,-81.682376,3.8517987987587485
31.2,7.1_4.1,41.47218,-81.69863,41.476985,-81.682376,1.4573889208867348
32.2,7.1_4.1,41.47214,-81.62353,41.476985,-81.682376,4.937660547132148
33.1,7.1_4.1,41.4668,-81.70792,41.476985,-81.682376,2.4135018104727437
34.1_16.1,7.1_4.1,41.469970000000004,-81.72552,41.476985,-81.682376,3.6822896397946434
35.1,7.1_4.1,41.463988,-81.645973,41.476985,-81.682376,3.3635032292664357
35.2,7.1_4.1,41.54031,-81.60699,41.476985,-81.682376,9.443818515355277
1.1,7.2,41.456319,-81.639257,41.44539,-81.53876,8.472928597230943
2.1,7.2,41.57947,-81.56615,41.44539,-81.53876,15.099332474548447
3.1,7.2,41.575635,-81.541699,41.44539,-81.53876,14.50087683349434
5.1_19.3_24.2,7.2,41.46274,-81.65997,41.44539,-81.53876,10.295630721039558
7.1_4.1,7.2,41.476985,-81.682376,41.44539,-81.53876,12.486502463000237
7.2,7.2,41.44539,-81.53876,41.44539,-81.53876,0
8.1_34.2,7.2,41.446336,-81.650709,41.44539,-81.53876,9.341956475744682
9.1_17.2,7.2,41.49211735298013,-81.67856,41.44539,-81.53876,12.768762412571634
9.2,7.2,41.50604,-81.66306,41.44539,-81.53876,12.371814739465055
11.1_32.1_18.2,7.2,41.56206,-81.564009,41.44539,-81.53876,13.157120850605116
12.1_5.2,7.2,41.49409,-81.70976,41.44539,-81.53876,15.259015086592255
13.1_33.2,7.2,41.489571,-81.71175,41.44539,-81.53876,15.245114858591828
14.1,7.2,41.49537,-81.63033,41.44539,-81.53876,9.449559277483962
15.1,7.2,41.552492,-81.591944,41.44539,-81.53876,12.720420127825477
18.1_26.1,7.2,41.47918,-81.75257,41.44539,-81.53876,18.228743487676816
19.1,7.2,41.462862,-81.647249,41.44539,-81.53876,9.258105793246305
19.2,7.2,41.46491,-81.59068,41.44539,-81.53876,4.846207406484528
20.1,7.2,41.569957,-81.541194,41.44539,-81.53876,13.868219457315293
20.2,7.2,41.50459,-81.6439,41.44539,-81.53876,10.969480307002902
21.1,7.2,41.486323,-81.624582,41.44539,-81.53876,8.48615481024974
22.1,7.2,41.44404,-81.72271,41.44539,-81.53876,15.3503493635634
23.1,7.2,41.449672,-81.564,41.44539,-81.53876,2.1593174877224213
24.1_1.2,7.2,41.564906,-81.579597,41.44539,-81.53876,13.73313191541536
25.1,7.2,41.46717,-81.63003,41.44539,-81.53876,7.991298572905302
27.1,7.2,41.50541,-81.66791,41.44539,-81.53876,12.675638196996111
28.1,7.2,41.46308,-81.69823,41.44539,-81.53876,13.449883133575566
29.1,7.2,41.43498,-81.81362,41.44539,-81.53876,22.966402737136804
30.1_17.1,7.2,41.47473,-81.72846,41.44539,-81.53876,16.15919182160364
31.2,7.2,41.47218,-81.69863,41.44539,-81.53876,13.66672784409166
32.2,7.2,41.47214,-81.62353,41.44539,-81.53876,7.673413827664993
33.1,7.2,41.4668,-81.70792,41.44539,-81.53876,14.312824947596592
34.1_16.1,7.2,41.469970000000004,-81.72552,41.44539,-81.53876,15.81941361233925
35.1,7.2,41.463988,-81.645973,41.44539,-81.53876,9.181422963968553
35.2,7.2,41.54031,-81.60699,41.44539,-81.53876,12.00069469062085
1.1,8.1_34.2,41.456319,-81.639257,41.446336,-81.650709,1.4656025309288108
2.1,8.1_34.2,41.57947,-81.56615,41.446336,-81.650709,16.411176075884224
3.1,8.1_34.2,41.575635,-81.541699,41.446336,-81.650709,17.02192856753213
5.1_19.3_24.2,8.1_34.2,41.46274,-81.65997,41.446336,-81.650709,1.982824645053918
7.1_4.1,8.1_34.2,41.476985,-81.682376,41.446336,-81.650709,4.315022301680739
7.2,8.1_34.2,41.44539,-81.53876,41.446336,-81.650709,9.341956475744682
8.1_34.2,8.1_34.2,41.446336,-81.650709,41.446336,-81.650709,0
9.1_17.2,8.1_34.2,41.49211735298013,-81.67856,41.446336,-81.650709,5.6008756283011865
9.2,8.1_34.2,41.50604,-81.66306,41.446336,-81.650709,6.7255764437027885
11.1_32.1_18.2,8.1_34.2,41.56206,-81.564009,41.446336,-81.650709,14.771545522102244
12.1_5.2,8.1_34.2,41.49409,-81.70976,41.446336,-81.650709,7.247090387644016
13.1_33.2,8.1_34.2,41.489571,-81.71175,41.446336,-81.650709,7.0063905600042755
14.1,8.1_34.2,41.49537,-81.63033,41.446336,-81.650709,5.716991251222317
15.1,8.1_34.2,41.552492,-81.591944,41.446336,-81.650709,12.792648401161001
18.1_26.1,8.1_34.2,41.47918,-81.75257,41.446336,-81.650709,9.250569146983244
19.1,8.1_34.2,41.462862,-81.647249,41.446336,-81.650709,1.8621770374895836
19.2,8.1_34.2,41.46491,-81.59068,41.446336,-81.650709,5.418276064477394
20.1,8.1_34.2,41.569957,-81.541194,41.446336,-81.650709,16.514365262390612
20.2,8.1_34.2,41.50459,-81.6439,41.446336,-81.650709,6.5096251119157
21.1,8.1_34.2,41.486323,-81.624582,41.446336,-81.650709,4.956235200579734
22.1,8.1_34.2,41.44404,-81.72271,41.446336,-81.650709,6.013477885790409
23.1,8.1_34.2,41.449672,-81.564,41.446336,-81.650709,7.244546901830795
24.1_1.2,8.1_34.2,41.564906,-81.579597,41.446336,-81.650709,14.469370941465705
25.1,8.1_34.2,41.46717,-81.63003,41.446336,-81.650709,2.890543745095023
27.1,8.1_34.2,41.50541,-81.66791,41.446336,-81.650709,6.730759090895233
28.1,8.1_34.2,41.46308,-81.69823,41.446336,-81.650709,4.381042579216702
29.1,8.1_34.2,41.43498,-81.81362,41.446336,-81.650709,13.653523373464528
30.1_17.1,8.1_34.2,41.47473,-81.72846,41.446336,-81.650709,7.215464470134242
31.2,8.1_34.2,41.47218,-81.69863,41.446336,-81.650709,4.925400929173256
32.2,8.1_34.2,41.47214,-81.62353,41.446336,-81.650709,3.6595667619527688
33.1,8.1_34.2,41.4668,-81.70792,41.446336,-81.650709,5.2888263742945885
34.1_16.1,8.1_34.2,41.469970000000004,-81.72552,41.446336,-81.650709,6.773127807822154
35.1,8.1_34.2,41.463988,-81.645973,41.446336,-81.650709,2.0043448154817165
35.2,8.1_34.2,41.54031,-81.60699,41.446336,-81.650709,11.078093765061631
1.1,9.1_17.2,41.456319,-81.639257,41.49211735298013,-81.67856,5.160114228731284
2.1,9.1_17.2,41.57947,-81.56615,41.49211735298013,-81.67856,13.501644864058012
3.1,9.1_17.2,41.575635,-81.541699,41.49211735298013,-81.67856,14.713988605660939
5.1_19.3_24.2,9.1_17.2,41.46274,-81.65997,41.49211735298013,-81.67856,3.6191956209336307
7.1_4.1,9.1_17.2,41.476985,-81.682376,41.49211735298013,-81.67856,1.7143210741750328
7.2,9.1_17.2,41.44539,-81.53876,41.49211735298013,-81.67856,12.768762412571634
8.1_34.2,9.1_17.2,41.446336,-81.650709,41.49211735298013,-81.67856,5.6008756283011865
9.1_17.2,9.1_17.2,41.49211735298013,-81.67856,41.49211735298013,-81.67856,0
9.2,9.1_17.2,41.50604,-81.66306,41.49211735298013,-81.67856,2.0179509181024535
11.1_32.1_18.2,9.1_17.2,41.56206,-81.564009,41.49211735298013,-81.67856,12.31897826935549
12.1_5.2,9.1_17.2,41.49409,-81.70976,41.49211735298013,-81.67856,2.6107775830045523
13.1_33.2,9.1_17.2,41.489571,-81.71175,41.49211735298013,-81.67856,2.782031648554542
14.1,9.1_17.2,41.49537,-81.63033,41.49211735298013,-81.67856,4.037753547317892
15.1,9.1_17.2,41.552492,-81.591944,41.49211735298013,-81.67856,9.863255679492596
18.1_26.1,9.1_17.2,41.47918,-81.75257,41.49211735298013,-81.67856,6.337633885602389
19.1,9.1_17.2,41.462862,-81.647249,41.49211735298013,-81.67856,4.1743863993506345
19.2,9.1_17.2,41.46491,-81.59068,41.49211735298013,-81.67856,7.930412607607037
20.1,9.1_17.2,41.569957,-81.541194,41.49211735298013,-81.67856,14.356920806502124
