site_id,date_daily,cinc_pm25_daily,n_halfhour_obs,first_time,last_time,valid_daily
1.1,2025-01-08,4.086625,8,2025-01-08T04:00:00Z,2025-01-09T00:00:00Z,FALSE
1.1,2025-01-09,4.0682,10,2025-01-09T00:30:00Z,2025-01-10T00:00:00Z,FALSE
1.1,2025-01-10,15.898809523809524,21,2025-01-10T01:00:00Z,2025-01-10T23:00:00Z,FALSE
1.1,2025-01-11,31.0688,20,2025-01-11T00:30:00Z,2025-01-12T00:00:00Z,FALSE
1.1,2025-01-12,27.0668,10,2025-01-12T01:30:00Z,2025-01-12T15:00:00Z,FALSE
1.1,2025-01-14,5.4299333333333335,15,2025-01-14T01:00:00Z,2025-01-14T23:00:00Z,FALSE
1.1,2025-01-15,6.443818181818181,11,2025-01-15T00:30:00Z,2025-01-16T00:00:00Z,FALSE
1.1,2025-01-16,18.671,11,2025-01-16T01:00:00Z,2025-01-16T23:30:00Z,FALSE
1.1,2025-01-17,45.3379,10,2025-01-17T00:30:00Z,2025-01-17T08:00:00Z,FALSE
1.1,2025-01-18,1.273,1,2025-01-18T21:30:00Z,2025-01-18T21:30:00Z,FALSE
1.1,2025-01-19,3.0473846153846154,13,2025-01-19T03:00:00Z,2025-01-20T00:00:00Z,FALSE
1.1,2025-01-20,4.100555555555555,9,2025-01-20T02:30:00Z,2025-01-20T22:00:00Z,FALSE
1.1,2025-01-21,3.462111111111111,18,2025-01-21T02:00:00Z,2025-01-21T23:30:00Z,FALSE
1.1,2025-01-22,3.8084285714285713,14,2025-01-22T02:30:00Z,2025-01-22T20:00:00Z,FALSE
1.1,2025-01-23,6.661846153846153,13,2025-01-23T00:30:00Z,2025-01-23T17:00:00Z,FALSE
1.1,2025-01-24,4.151166666666667,6,2025-01-24T04:00:00Z,2025-01-24T09:00:00Z,FALSE
1.1,2025-01-25,13.424166666666666,6,2025-01-25T01:00:00Z,2025-01-25T14:30:00Z,FALSE
1.1,2025-01-26,11.244,1,2025-01-26T02:00:00Z,2025-01-26T02:00:00Z,FALSE
1.1,2025-02-01,2.8382500000000004,4,2025-02-01T10:30:00Z,2025-02-01T22:00:00Z,FALSE
1.1,2025-02-02,4.202142857142857,21,2025-02-02T00:30:00Z,2025-02-02T17:30:00Z,FALSE
1.1,2025-02-05,2.170875,8,2025-02-05T02:30:00Z,2025-02-05T15:30:00Z,FALSE
1.1,2025-02-06,7.0405,2,2025-02-06T02:30:00Z,2025-02-06T05:30:00Z,FALSE
1.1,2025-02-07,4.6975,2,2025-02-07T13:00:00Z,2025-02-07T13:30:00Z,FALSE
1.1,2025-02-08,9.239705882352942,17,2025-02-08T03:00:00Z,2025-02-08T20:30:00Z,FALSE
1.1,2025-02-09,30.522,3,2025-02-09T01:00:00Z,2025-02-09T13:00:00Z,FALSE
1.1,2025-02-10,6.177,2,2025-02-10T03:30:00Z,2025-02-10T10:30:00Z,FALSE
1.1,2025-02-11,28.075333333333333,3,2025-02-11T02:30:00Z,2025-02-11T13:00:00Z,FALSE
1.1,2025-02-12,21.046444444444443,9,2025-02-12T04:00:00Z,2025-02-12T14:00:00Z,FALSE
1.1,2025-02-13,17.873333333333335,3,2025-02-13T14:00:00Z,2025-02-13T17:30:00Z,FALSE
1.1,2025-02-14,8.902111111111111,18,2025-02-14T00:30:00Z,2025-02-15T00:00:00Z,FALSE
1.1,2025-02-15,13.3718,5,2025-02-15T02:30:00Z,2025-02-15T14:00:00Z,FALSE
1.1,2025-02-17,3.691125,8,2025-02-17T03:00:00Z,2025-02-17T23:30:00Z,FALSE
1.1,2025-02-18,4.257941176470588,17,2025-02-18T00:30:00Z,2025-02-19T00:00:00Z,FALSE
1.1,2025-02-19,3.913181818181818,11,2025-02-19T01:30:00Z,2025-02-20T00:00:00Z,FALSE
1.1,2025-02-20,5.7452499999999995,4,2025-02-20T03:30:00Z,2025-02-20T12:30:00Z,FALSE
1.1,2025-02-21,2.7096666666666667,6,2025-02-21T04:00:00Z,2025-02-21T17:30:00Z,FALSE
1.1,2025-02-22,17.39390909090909,11,2025-02-22T02:00:00Z,2025-02-22T22:30:00Z,FALSE
1.1,2025-02-23,9.938600000000001,5,2025-02-23T11:30:00Z,2025-02-23T20:00:00Z,FALSE
1.1,2025-02-24,15.413,1,2025-02-24T01:00:00Z,2025-02-24T01:00:00Z,FALSE
1.1,2025-03-01,0.9473333333333334,3,2025-03-01T20:00:00Z,2025-03-01T23:00:00Z,FALSE
1.1,2025-03-02,3.6715,8,2025-03-02T03:30:00Z,2025-03-02T15:00:00Z,FALSE
1.1,2025-03-03,7.253,12,2025-03-03T01:30:00Z,2025-03-03T12:30:00Z,FALSE
1.1,2025-03-04,7.4495000000000005,2,2025-03-04T12:00:00Z,2025-03-04T13:30:00Z,FALSE
1.1,2025-03-06,2.8354,5,2025-03-06T14:30:00Z,2025-03-06T19:30:00Z,FALSE
1.1,2025-03-07,7.324,2,2025-03-07T13:00:00Z,2025-03-08T00:00:00Z,FALSE
1.1,2025-03-08,12.9889,10,2025-03-08T00:30:00Z,2025-03-08T15:30:00Z,FALSE
1.1,2025-03-09,9.308,1,2025-03-09T10:00:00Z,2025-03-09T10:00:00Z,FALSE
1.1,2025-05-19,5.445375,8,2025-05-19T17:30:00Z,2025-05-20T00:00:00Z,FALSE
1.1,2025-05-20,6.088942857142857,35,2025-05-20T00:30:00Z,2025-05-20T17:30:00Z,FALSE
1.1,2025-05-30,7.5104,5,2025-05-30T22:00:00Z,2025-05-31T00:00:00Z,FALSE
1.1,2025-05-31,8.829333333333333,9,2025-05-31T00:30:00Z,2025-05-31T04:30:00Z,FALSE
1.1,2025-06-11,2.2022,5,2025-06-11T19:30:00Z,2025-06-11T23:00:00Z,FALSE
1.1,2025-06-12,4.3655333333333335,15,2025-06-12T00:30:00Z,2025-06-12T21:30:00Z,FALSE
1.1,2025-06-13,4.725375,8,2025-06-13T00:30:00Z,2025-06-13T16:30:00Z,FALSE
1.1,2025-06-14,2.3695,2,2025-06-14T22:00:00Z,2025-06-15T00:00:00Z,FALSE
1.1,2025-06-15,4.06125,4,2025-06-15T12:30:00Z,2025-06-15T22:30:00Z,FALSE
1.1,2025-06-16,3.021375,8,2025-06-16T02:30:00Z,2025-06-16T17:00:00Z,FALSE
1.1,2025-06-17,1.7337,10,2025-06-17T15:30:00Z,2025-06-18T00:00:00Z,FALSE
1.1,2025-06-18,1.7085,14,2025-06-18T00:30:00Z,2025-06-19T00:00:00Z,FALSE
1.1,2025-06-19,1.4448333333333334,6,2025-06-19T00:30:00Z,2025-06-19T23:30:00Z,FALSE
1.1,2025-06-20,1.963,6,2025-06-20T01:30:00Z,2025-06-20T05:30:00Z,FALSE
1.1,2025-06-21,2.4787857142857144,14,2025-06-21T05:30:00Z,2025-06-21T23:30:00Z,FALSE
1.1,2025-06-22,2.246777777777778,18,2025-06-22T01:30:00Z,2025-06-22T22:00:00Z,FALSE
1.1,2025-06-23,2.2754545454545454,11,2025-06-23T01:30:00Z,2025-06-23T23:30:00Z,FALSE
1.1,2025-06-24,2.3855555555555554,9,2025-06-24T00:30:00Z,2025-06-24T23:30:00Z,FALSE
1.1,2025-06-25,1.883,10,2025-06-25T00:30:00Z,2025-06-25T16:00:00Z,FALSE
1.1,2025-06-26,1.7356,5,2025-06-26T02:30:00Z,2025-06-26T19:00:00Z,FALSE
1.1,2025-06-27,2.338875,8,2025-06-27T06:30:00Z,2025-06-27T22:30:00Z,FALSE
1.1,2025-06-28,3.417125,8,2025-06-28T03:00:00Z,2025-06-28T19:00:00Z,FALSE
1.1,2025-06-29,0.9263333333333333,6,2025-06-29T00:30:00Z,2025-06-29T20:00:00Z,FALSE
1.1,2025-06-30,1.75925,4,2025-06-30T11:00:00Z,2025-06-30T23:00:00Z,FALSE
1.1,2025-07-01,1.2266666666666666,3,2025-07-01T01:00:00Z,2025-07-01T21:00:00Z,FALSE
1.1,2025-07-02,1.2581428571428572,7,2025-07-02T05:00:00Z,2025-07-02T17:00:00Z,FALSE
1.1,2025-07-03,6.205,3,2025-07-03T19:00:00Z,2025-07-03T21:00:00Z,FALSE
1.1,2025-07-04,3.947,5,2025-07-04T01:30:00Z,2025-07-05T00:00:00Z,FALSE
1.1,2025-07-05,4.181444444444445,9,2025-07-05T01:30:00Z,2025-07-06T00:00:00Z,FALSE
1.1,2025-07-06,2.164555555555556,9,2025-07-06T01:00:00Z,2025-07-06T19:30:00Z,FALSE
1.1,2025-07-07,2.476166666666667,6,2025-07-07T02:30:00Z,2025-07-07T15:30:00Z,FALSE
1.1,2025-07-08,3.770272727272727,11,2025-07-08T02:30:00Z,2025-07-08T23:30:00Z,FALSE
1.1,2025-07-09,5.327166666666667,6,2025-07-09T01:00:00Z,2025-07-09T23:00:00Z,FALSE
1.1,2025-07-10,5.01175,8,2025-07-10T01:00:00Z,2025-07-11T00:00:00Z,FALSE
1.1,2025-07-11,2.945,9,2025-07-11T01:30:00Z,2025-07-11T19:00:00Z,FALSE
1.1,2025-07-12,1.8022105263157895,19,2025-07-12T03:30:00Z,2025-07-13T00:00:00Z,FALSE
1.1,2025-07-13,1.317625,8,2025-07-13T01:30:00Z,2025-07-13T22:30:00Z,FALSE
1.1,2025-07-14,4.870666666666667,12,2025-07-14T01:00:00Z,2025-07-14T22:00:00Z,FALSE
1.1,2025-07-15,8.1517,10,2025-07-15T04:00:00Z,2025-07-15T23:30:00Z,FALSE
1.1,2025-07-16,8.0191,10,2025-07-16T01:00:00Z,2025-07-16T21:30:00Z,FALSE
1.1,2025-07-17,1.9914444444444444,9,2025-07-17T00:30:00Z,2025-07-18T00:00:00Z,FALSE
1.1,2025-07-18,0.8127500000000001,4,2025-07-18T02:00:00Z,2025-07-18T17:00:00Z,FALSE
1.1,2025-07-19,0.9075625,16,2025-07-19T00:30:00Z,2025-07-20T00:00:00Z,FALSE
1.1,2025-07-20,1.696,9,2025-07-20T02:30:00Z,2025-07-20T18:30:00Z,FALSE
1.1,2025-07-21,3.3015,4,2025-07-21T03:00:00Z,2025-07-21T16:00:00Z,FALSE
1.1,2025-07-22,2.482875,8,2025-07-22T13:00:00Z,2025-07-22T22:30:00Z,FALSE
1.1,2025-07-23,1.1469,10,2025-07-23T00:30:00Z,2025-07-24T00:00:00Z,FALSE
1.1,2025-07-24,2.2739333333333334,15,2025-07-24T00:30:00Z,2025-07-25T00:00:00Z,FALSE
1.1,2025-07-25,1.8471875,16,2025-07-25T00:30:00Z,2025-07-26T00:00:00Z,FALSE
