device_eui,location_name,device_number,device_status,latitude,longitude,datetime_utc,pm25,temperature_c,humidity,sensor_id,site_id
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T15:00:00Z,19.201,32.6,38,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T15:30:00Z,19.685,-31.9,38,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T16:00:00Z,19.534,-32.6,35,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T16:30:00Z,16.78,-31.7,36,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T17:00:00Z,30.513,-31.2,36,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T17:30:00Z,21.823,-27.6,32,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T18:00:00Z,21.817,-26.5,26,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T18:30:00Z,26.841,-22.5,22,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T19:00:00Z,28.011,-21,23,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T19:30:00Z,24.222,-18.2,18,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T20:00:00Z,23.792,-21.4,18,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T21:00:00Z,27.044,-18.6,17,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T21:30:00Z,42.641,-20.3,18,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T22:00:00Z,30.938,-25.5,22,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T22:30:00Z,26.713,-30,25,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T23:00:00Z,24.56,32.7,30,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-06T23:30:00Z,22.613,30.6,31,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-07T15:30:00Z,17.539,32,42,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-07T16:00:00Z,14.693,32.6,38,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-07T18:00:00Z,13.261,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-07T19:30:00Z,17.681,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-07T22:00:00Z,12.916,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-07T23:00:00Z,15.4,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-08T07:00:00Z,19.143,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-08T12:00:00Z,27.372,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-08T14:30:00Z,19.44,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-08T17:00:00Z,6.654,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-09T11:00:00Z,33.124,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-09T11:30:00Z,32.18,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-09T22:00:00Z,22.779,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-09T22:30:00Z,18.829,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-10T04:00:00Z,34.913,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-10T09:00:00Z,29.132,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-10T12:00:00Z,29.798,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-10T13:00:00Z,33.562,32.3,50,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-10T14:30:00Z,27.667,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-10T15:00:00Z,23.106,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-10T19:00:00Z,16.086,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T02:00:00Z,28.763,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T05:00:00Z,29.078,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T06:30:00Z,27.692,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T07:30:00Z,26.863,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T10:00:00Z,25.286,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T12:00:00Z,21.198,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T16:30:00Z,17.143,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T17:00:00Z,15.293,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T18:00:00Z,16.148,NA,NA,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T18:30:00Z,16.506,-32,44,4.1,7.1_4.1
0004A30B00082646,St. Theodosius Monitoring Site Collocated Sensor,4,Active,41.476985,-81.682376,2025-08-11T19:30:00Z,13.071,-31.4,46,4.1,7.1_4.1
